class,label,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label,identifier_value
PoeticWork,Di barbaro Leon crudi furori,,Di barbaro Leon crudi furori,Di barbaro Leon crudi furori.md,4YB9j8d3zuQM,52190823269146800559,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Di barbaro Leon crudi furori,,Di barbaro Leon crudi furori,Di barbaro Leon crudi furori.md,4YB9j8d3zuQM,52190823269146800559,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iRCYDktcXg33,Ottavio Tronsarelli,,,,,,,,,,,,,,,,,,
PoeticWork,Di barbaro Leon crudi furori,,Di barbaro Leon crudi furori,Di barbaro Leon crudi furori.md,4YB9j8d3zuQM,52190823269146800559,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YwBMpr45NG8a,Le pene de gli amanti.,71.0,Rime di Ottavio Tronsarelli,,,,,,,,,,,,,,
PoeticWork,Di barbaro Leon crudi furori,,Di barbaro Leon crudi furori,Di barbaro Leon crudi furori.md,4YB9j8d3zuQM,52190823269146800559,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Di barbaro Leon crudi furori,,Di barbaro Leon crudi furori,Di barbaro Leon crudi furori.md,4YB9j8d3zuQM,52190823269146800559,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Di barbaro Leon crudi furori,,Di barbaro Leon crudi furori,Di barbaro Leon crudi furori.md,4YB9j8d3zuQM,52190823269146800559,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MVesHQPbVg5X,metaphor,,,,,,,,,,
PoeticWork,Di barbaro Leon crudi furori,,Di barbaro Leon crudi furori,Di barbaro Leon crudi furori.md,4YB9j8d3zuQM,52190823269146800559,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Q3VtFUAxVKyf,lover,,,,,,,,,,
PoeticWork,Di barbaro Leon crudi furori,,Di barbaro Leon crudi furori,Di barbaro Leon crudi furori.md,4YB9j8d3zuQM,52190823269146800559,poetic_type,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,,,
PoeticWork,Di barbaro Leon crudi furori,,Di barbaro Leon crudi furori,Di barbaro Leon crudi furori.md,4YB9j8d3zuQM,52190823269146800559,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,,
PoeticWork,Di barbaro Leon crudi furori,,Di barbaro Leon crudi furori,Di barbaro Leon crudi furori.md,4YB9j8d3zuQM,52190823269146800559,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CLkS2ShdERPp,calamity,,,,
PoeticWork,Di barbaro Leon crudi furori,,Di barbaro Leon crudi furori,Di barbaro Leon crudi furori.md,4YB9j8d3zuQM,52190823269146800559,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNrGzpxh2Xcy,Etna,,,,
PoeticWork,Di barbaro Leon crudi furori,,Di barbaro Leon crudi furori,Di barbaro Leon crudi furori.md,4YB9j8d3zuQM,52190823269146800559,text,,,,,,,,,,,,,,,,,,,,"Di barbaro Leon crudi furori,
Impero altier di torbidi Torrenti,
D'acceso Lampo rigidi spaventi,
Di Folgor tripartita alti terrori;

D'Etna vorace strepitosi ardori,
Tenzon superba di rabbiosi Venti,
D'implacabil' Averno aspri lamenti,
Di Mar fremente procellosi horrori;

Tumulto micidial di Marte immondo,
Feroce suon d'indomiti Giganti,
Di svelte Rupi diroccato pondo;

Di formidabil Giove ire tonanti,
Moto ondeggiante d'agitato Mondo
Son gravi pene d'infelici Amanti.",,,
PoeticWork,Di barbaro Leon crudi furori,,Di barbaro Leon crudi furori,Di barbaro Leon crudi furori.md,4YB9j8d3zuQM,52190823269146800559,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,Di barbaro Leon crudi furori,,Di barbaro Leon crudi furori,Di barbaro Leon crudi furori.md,4YB9j8d3zuQM,52190823269146800559,identifier,,,,,,,,,,,,,,,,,,,,,,,
