class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,part_of_section,part_of_volume,part_of_pages,part_of_value,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Se gli Eterni pensieri,,,Se gli Eterni pensieri,Se gli Eterni pensieri.md,7kqdKd6QuvHW,118687352555087062057,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se gli Eterni pensieri,,,Se gli Eterni pensieri,Se gli Eterni pensieri.md,7kqdKd6QuvHW,118687352555087062057,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se gli Eterni pensieri,,,Se gli Eterni pensieri,Se gli Eterni pensieri.md,7kqdKd6QuvHW,118687352555087062057,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Se gli Eterni pensieri,,,Se gli Eterni pensieri,Se gli Eterni pensieri.md,7kqdKd6QuvHW,118687352555087062057,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",[[Francesco Maria Santinelli]],,,,,,,,,,,,,,,,,
PoeticWork,Se gli Eterni pensieri,,,Se gli Eterni pensieri,Se gli Eterni pensieri.md,7kqdKd6QuvHW,118687352555087062057,part_of,,,,,,,Santinelli e l'Astrologia,,31.0,[[(Santinelli 1985)]],,,,,,,,,,,,,
PoeticWork,Se gli Eterni pensieri,,,Se gli Eterni pensieri,Se gli Eterni pensieri.md,7kqdKd6QuvHW,118687352555087062057,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se gli Eterni pensieri,,,Se gli Eterni pensieri,Se gli Eterni pensieri.md,7kqdKd6QuvHW,118687352555087062057,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se gli Eterni pensieri,,,Se gli Eterni pensieri,Se gli Eterni pensieri.md,7kqdKd6QuvHW,118687352555087062057,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TkUXmQEgY6Yz,astrology,,,,,,,,,
PoeticWork,Se gli Eterni pensieri,,,Se gli Eterni pensieri,Se gli Eterni pensieri.md,7kqdKd6QuvHW,118687352555087062057,subject,,,,,,,,,,,,,[[astrology|divination]],,,,,,,,,,
PoeticWork,Se gli Eterni pensieri,,,Se gli Eterni pensieri,Se gli Eterni pensieri.md,7kqdKd6QuvHW,118687352555087062057,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5ZbsDcKwceyY,canzone,,,,,,,
PoeticWork,Se gli Eterni pensieri,,,Se gli Eterni pensieri,Se gli Eterni pensieri.md,7kqdKd6QuvHW,118687352555087062057,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,Se gli Eterni pensieri,,,Se gli Eterni pensieri,Se gli Eterni pensieri.md,7kqdKd6QuvHW,118687352555087062057,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/n4nZUvENWhDP,Fortuna,,,
PoeticWork,Se gli Eterni pensieri,,,Se gli Eterni pensieri,Se gli Eterni pensieri.md,7kqdKd6QuvHW,118687352555087062057,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MiEZVRza7UDo,celestial body,,,
PoeticWork,Se gli Eterni pensieri,,,Se gli Eterni pensieri,Se gli Eterni pensieri.md,7kqdKd6QuvHW,118687352555087062057,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,Se gli Eterni pensieri,,,Se gli Eterni pensieri,Se gli Eterni pensieri.md,7kqdKd6QuvHW,118687352555087062057,text,,,,,,,,,,,,,,,,,,,,,,,"Se gli Eterni pensieri
Che ne i Pianeti il Divin fabro incise,
Fosse Huomo caduco a cancellar bastante
Sarian del Ciel rotante
L'influenze derise,
Che sol forano i Fati i suoi Voleri,
Ah non sia mai chi speri
Tor le Leggi al Destin, o crudo, o pio,
Se Colassù chi le dispone è Dio."
