class,description,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Vinci.",Ne la dolce stagion di Primavera,Ne la dolce stagion di Primavera.md,Ne la dolce stagion di Primavera,ZoZiSoLqSvg3,656205797558999496652,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Vinci.",Ne la dolce stagion di Primavera,Ne la dolce stagion di Primavera.md,Ne la dolce stagion di Primavera,ZoZiSoLqSvg3,656205797558999496652,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oVgX4nooPy2A,Tarquinia Molza,,,,,,,,,,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Vinci.",Ne la dolce stagion di Primavera,Ne la dolce stagion di Primavera.md,Ne la dolce stagion di Primavera,ZoZiSoLqSvg3,656205797558999496652,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YwcxDqCUtgfG,Di Pietro Vinci Il terzo libro de madrigali a cinque voci,,,,,,,,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Vinci.",Ne la dolce stagion di Primavera,Ne la dolce stagion di Primavera.md,Ne la dolce stagion di Primavera,ZoZiSoLqSvg3,656205797558999496652,based_on,,,,,,,,,,,,,,,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Vinci.",Ne la dolce stagion di Primavera,Ne la dolce stagion di Primavera.md,Ne la dolce stagion di Primavera,ZoZiSoLqSvg3,656205797558999496652,derivative_work,,,,,,,,,,,,,,,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Vinci.",Ne la dolce stagion di Primavera,Ne la dolce stagion di Primavera.md,Ne la dolce stagion di Primavera,ZoZiSoLqSvg3,656205797558999496652,subject,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MFkDrmE7jx9f,oxymoron,,,,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Vinci.",Ne la dolce stagion di Primavera,Ne la dolce stagion di Primavera.md,Ne la dolce stagion di Primavera,ZoZiSoLqSvg3,656205797558999496652,poetic_type,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Vinci.",Ne la dolce stagion di Primavera,Ne la dolce stagion di Primavera.md,Ne la dolce stagion di Primavera,ZoZiSoLqSvg3,656205797558999496652,metre,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Vinci.",Ne la dolce stagion di Primavera,Ne la dolce stagion di Primavera.md,Ne la dolce stagion di Primavera,ZoZiSoLqSvg3,656205797558999496652,metre,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable,,,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Vinci.",Ne la dolce stagion di Primavera,Ne la dolce stagion di Primavera.md,Ne la dolce stagion di Primavera,ZoZiSoLqSvg3,656205797558999496652,depicts,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kxH89uEZ8Uxe,laurel,,,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Vinci.",Ne la dolce stagion di Primavera,Ne la dolce stagion di Primavera.md,Ne la dolce stagion di Primavera,ZoZiSoLqSvg3,656205797558999496652,language,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,"There seems to be any poetry collection including this poem by Molza, except from the madrigal by Vinci.",Ne la dolce stagion di Primavera,Ne la dolce stagion di Primavera.md,Ne la dolce stagion di Primavera,ZoZiSoLqSvg3,656205797558999496652,text,,,,,,,,,,,,,,,,,,,,"Ne la dolce stagion Di primavera
Senza foglie vedrò mirti et allori
Di vern'al ghiaccio i fiori
Sorger lieti e fiorir rose e viole
Pria che da voi mio sole
Sciolga quest'alma o che per altr'oggetto,
Nuovo foco d'amor mi scald'il petto."
