class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,member_reference,member_label,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,mMhqzLyKW2Gj,894475383010038997985,identifier,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,mMhqzLyKW2Gj,894475383010038997985,described_by_source,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,mMhqzLyKW2Gj,894475383010038997985,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,mMhqzLyKW2Gj,894475383010038997985,inception,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,mMhqzLyKW2Gj,894475383010038997985,dissolved,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,mMhqzLyKW2Gj,894475383010038997985,location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aZYyFvmFCS9M,Urbino,,,,,,,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,mMhqzLyKW2Gj,894475383010038997985,official_website,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,mMhqzLyKW2Gj,894475383010038997985,catalog_identifier,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",3.0,,,,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,mMhqzLyKW2Gj,894475383010038997985,member,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MCpqmQ2EH76N,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Laura Battiferri,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,mMhqzLyKW2Gj,894475383010038997985,interested_in,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,mMhqzLyKW2Gj,894475383010038997985,notable_work,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,mMhqzLyKW2Gj,894475383010038997985,related_to,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,mMhqzLyKW2Gj,894475383010038997985,motto,,,,,,,,,,,,,,,,,,
