class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_publisher,has_version_holding_institution,has_version_external_source,has_version_place_of_publication,has_version_permalink,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,W4yT45zzaDpt,578881383851562323030,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/NV51470010,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,W4yT45zzaDpt,578881383851562323030,identifier,https://edit16.iccu.sbn.it/titolo/CNCE036882,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,W4yT45zzaDpt,578881383851562323030,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,W4yT45zzaDpt,578881383851562323030,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,,,
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,W4yT45zzaDpt,578881383851562323030,title,,,,,,"Corona della morte dell'illustre signore, il sig. comendator Anibal Caro. Di nouo posta in luce per Giulio Bonagionta da S. Genesi",,,,,,,,,,,,,,,,,
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,W4yT45zzaDpt,578881383851562323030,inception,,,,,,,1568.0,,,,,,,,,,,,,,,,
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,W4yT45zzaDpt,578881383851562323030,has_version,,,,,,,,1568.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EaDmr6ppAvfM', 'label': 'Girolamo Scotto'}","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AsVXdHbvfD4X', 'label': 'Royal Holloway University of London'}",https://repository.royalholloway.ac.uk/items/9e2da649-1c20-6d7b-bc0f-435bc8ce2819/1/,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",https://edit16.iccu.sbn.it/titolo/CNCE036882,Altus and Bassus only.,,,,,,,,,
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,W4yT45zzaDpt,578881383851562323030,has_version,,,,,,,,1568.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EaDmr6ppAvfM', 'label': 'Girolamo Scotto'}",,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_R/R220/,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",https://edit16.iccu.sbn.it/titolo/CNCE036882,Cantus only.,,,,,,,,,
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,W4yT45zzaDpt,578881383851562323030,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ds7Pd3msZjeC,Annibale Caro,,,,,,
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,W4yT45zzaDpt,578881383851562323030,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VvwqSP8dg3vT,elegy,,,,
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,W4yT45zzaDpt,578881383851562323030,has_part,,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,W4yT45zzaDpt,578881383851562323030,instrumentation,,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mFmEeeyWJZMt,quintus
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,W4yT45zzaDpt,578881383851562323030,instrumentation,,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kSRFAFQb4mfa,bassus
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,W4yT45zzaDpt,578881383851562323030,instrumentation,,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5uHH8y5Q43eU,tenor
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,W4yT45zzaDpt,578881383851562323030,instrumentation,,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UffZZ8mohzzQ,altus
NotatedMusic,Corona della morte dell'illustre signore Anibal Caro,,,Corona della morte dell'illustre signore Anibal Caro,Corona della morte dell'illustre signore Anibal Caro.md,W4yT45zzaDpt,578881383851562323030,instrumentation,,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6xVaVEAi3tdM,cantus
