class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,3ybFxsvJusaH,40758887223198986268,identifier,http://www.wikidata.org/entity/Q946839,,,,,,,,,,,,,,,,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,3ybFxsvJusaH,40758887223198986268,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hVaqWot6RNoW,(Stras 2005),,,,,,,,,,,,,,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,3ybFxsvJusaH,40758887223198986268,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RMrG5qDMi6DF,(Stras 2018),,,,,,,,,,,,,,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,3ybFxsvJusaH,40758887223198986268,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,3ybFxsvJusaH,40758887223198986268,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,3ybFxsvJusaH,40758887223198986268,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ut5gfQdSP4WR,Ferrara,,,,,,,,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,3ybFxsvJusaH,40758887223198986268,member_of,,,,,,,,,,,,,,,,,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,3ybFxsvJusaH,40758887223198986268,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ,composer,,,,,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,3ybFxsvJusaH,40758887223198986268,related_to,,,,,,,,,,,,,,,,,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,3ybFxsvJusaH,40758887223198986268,notable_work,,,,,,,,,,,,,,,,,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,3ybFxsvJusaH,40758887223198986268,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Jhcy62DaMqRe,riddle,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,3ybFxsvJusaH,40758887223198986268,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8hA63a8Vkmdq,academia fictiva,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,3ybFxsvJusaH,40758887223198986268,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Lodovico Agostini,,,Lodovico Agostini,Lodovico Agostini.md,3ybFxsvJusaH,40758887223198986268,present_in_work,,,,,,,,,,,,,,,,,,
