class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_sourcing_circumstances,inception_value,inception_reference,has_version_external_source,has_version_holding_institution,has_version_IIIF_manifest,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value
Book,Astolfeide del divino Pietro Aretino,,,Astolfeide del divino Pietro Aretino,Astolfeide del divino Pietro Aretino.md,DKcYbAWT5iHU,233368822842535199726,identifier,https://edit16.iccu.sbn.it/titolo/CNCE080106,,,,,,,,,,,,,,,,,,,,
Book,Astolfeide del divino Pietro Aretino,,,Astolfeide del divino Pietro Aretino,Astolfeide del divino Pietro Aretino.md,DKcYbAWT5iHU,233368822842535199726,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3bt2ieeAeUgg,(Selepiuc 2020),,,,,,,,,,,,,,,,,,
Book,Astolfeide del divino Pietro Aretino,,,Astolfeide del divino Pietro Aretino,Astolfeide del divino Pietro Aretino.md,DKcYbAWT5iHU,233368822842535199726,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/G5HRmYcA2riQ,chivalric poem,,,,,,,,,,,,,,,,
Book,Astolfeide del divino Pietro Aretino,,,Astolfeide del divino Pietro Aretino,Astolfeide del divino Pietro Aretino.md,DKcYbAWT5iHU,233368822842535199726,title,,,,,,"Astolfeide del diuino Pietro Aretino, opera deletteuole da leggere, che continene la vita, & fatti de tutti li paladini di Francia, & di doue nacque òa casa di Maganza, & chi fu Gano, & di che genti, e conditione fu la sua genologia. Cosa bellissima d'amore, & gran bataglie di Orlando, & di Rinaldo",,,,,,,,,,,,,,,
Book,Astolfeide del divino Pietro Aretino,,,Astolfeide del divino Pietro Aretino,Astolfeide del divino Pietro Aretino.md,DKcYbAWT5iHU,233368822842535199726,inception,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8LbxJqpVwRJW', 'label': 'circa'}",1547.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3bt2ieeAeUgg', 'label': '(Selepiuc 2020)'}]",,,,,,,,,,,,
Book,Astolfeide del divino Pietro Aretino,,,Astolfeide del divino Pietro Aretino,Astolfeide del divino Pietro Aretino.md,DKcYbAWT5iHU,233368822842535199726,has_version,,,,,,,,,,https://gallica.bnf.fr/ark:/12148/bpt6k725844,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a4rNvLRqq9fj', 'label': 'Bibliothèque nationale de France'}",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k725844/manifest.json,https://edit16.iccu.sbn.it/titolo/CNCE080106,,,,,,,,
Book,Astolfeide del divino Pietro Aretino,,,Astolfeide del divino Pietro Aretino,Astolfeide del divino Pietro Aretino.md,DKcYbAWT5iHU,233368822842535199726,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3YLGgR7kasRh,Pietro Aretino,,,,,
Book,Astolfeide del divino Pietro Aretino,,,Astolfeide del divino Pietro Aretino,Astolfeide del divino Pietro Aretino.md,DKcYbAWT5iHU,233368822842535199726,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5C2giKadMWJQ,Astolfo,,,
Book,Astolfeide del divino Pietro Aretino,,,Astolfeide del divino Pietro Aretino,Astolfeide del divino Pietro Aretino.md,DKcYbAWT5iHU,233368822842535199726,based_on,,,,,,,,,,,,,,,,,,,,,
Book,Astolfeide del divino Pietro Aretino,,,Astolfeide del divino Pietro Aretino,Astolfeide del divino Pietro Aretino.md,DKcYbAWT5iHU,233368822842535199726,catalog_identifier,,,,,,,,,,,,,,,,,,,,,
Book,Astolfeide del divino Pietro Aretino,,,Astolfeide del divino Pietro Aretino,Astolfeide del divino Pietro Aretino.md,DKcYbAWT5iHU,233368822842535199726,has_part,,,,,,,,,,,,,,,,,,,,,
