class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,member_reference,member_label,interested_in_value,notable_work_value
Organisation,Accademia degli Oziosi di Napoli,,,Accademia degli Oziosi di Napoli,Accademia degli Oziosi di Napoli.md,Cqn6uHL6LDhS,223654575776662161213,identifier,,,,,,,,,,,,,,,,
Organisation,Accademia degli Oziosi di Napoli,,,Accademia degli Oziosi di Napoli,Accademia degli Oziosi di Napoli.md,Cqn6uHL6LDhS,223654575776662161213,described_by_source,,,,,,,,,,,,,,,,
Organisation,Accademia degli Oziosi di Napoli,,,Accademia degli Oziosi di Napoli,Accademia degli Oziosi di Napoli.md,Cqn6uHL6LDhS,223654575776662161213,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TuhZnsrVW6Mf,academy,,,,,,,,,,,,
Organisation,Accademia degli Oziosi di Napoli,,,Accademia degli Oziosi di Napoli,Accademia degli Oziosi di Napoli.md,Cqn6uHL6LDhS,223654575776662161213,inception,,,,,,,,,,,,,,,,
Organisation,Accademia degli Oziosi di Napoli,,,Accademia degli Oziosi di Napoli,Accademia degli Oziosi di Napoli.md,Cqn6uHL6LDhS,223654575776662161213,dissolved,,,,,,,,,,,,,,,,
Organisation,Accademia degli Oziosi di Napoli,,,Accademia degli Oziosi di Napoli,Accademia degli Oziosi di Napoli.md,Cqn6uHL6LDhS,223654575776662161213,location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bpRYamR8DUKq,Napoli,,,,,,,,
Organisation,Accademia degli Oziosi di Napoli,,,Accademia degli Oziosi di Napoli,Accademia degli Oziosi di Napoli.md,Cqn6uHL6LDhS,223654575776662161213,official_website,,,,,,,,,,,,,,,,
Organisation,Accademia degli Oziosi di Napoli,,,Accademia degli Oziosi di Napoli,Accademia degli Oziosi di Napoli.md,Cqn6uHL6LDhS,223654575776662161213,catalog_identifier,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",17.0,,,,,
Organisation,Accademia degli Oziosi di Napoli,,,Accademia degli Oziosi di Napoli,Accademia degli Oziosi di Napoli.md,Cqn6uHL6LDhS,223654575776662161213,member,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LecpVz9RT6xT,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",Giulio Cesare Capaccio,,
Organisation,Accademia degli Oziosi di Napoli,,,Accademia degli Oziosi di Napoli,Accademia degli Oziosi di Napoli.md,Cqn6uHL6LDhS,223654575776662161213,interested_in,,,,,,,,,,,,,,,,
Organisation,Accademia degli Oziosi di Napoli,,,Accademia degli Oziosi di Napoli,Accademia degli Oziosi di Napoli.md,Cqn6uHL6LDhS,223654575776662161213,notable_work,,,,,,,,,,,,,,,,
