class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Emperor Charles V,Emperor Charles V.md,Emperor Charles V,fwobE2DWRXRY,783005579025664312908,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Emperor Charles V,Emperor Charles V.md,Emperor Charles V,fwobE2DWRXRY,783005579025664312908,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Emperor Charles V,Emperor Charles V.md,Emperor Charles V,fwobE2DWRXRY,783005579025664312908,work_location,,,,,,,,,,,,,,
Agent,Emperor Charles V,Emperor Charles V.md,Emperor Charles V,fwobE2DWRXRY,783005579025664312908,member_of,,,,,,,,,,,,,,
Agent,Emperor Charles V,Emperor Charles V.md,Emperor Charles V,fwobE2DWRXRY,783005579025664312908,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Gup4VoeXGR57,politician,,,,,,
Agent,Emperor Charles V,Emperor Charles V.md,Emperor Charles V,fwobE2DWRXRY,783005579025664312908,related_to,,,,,,,,,,,,,,
Agent,Emperor Charles V,Emperor Charles V.md,Emperor Charles V,fwobE2DWRXRY,783005579025664312908,notable_work,,,,,,,,,,,,,,
Agent,Emperor Charles V,Emperor Charles V.md,Emperor Charles V,fwobE2DWRXRY,783005579025664312908,interested_in,,,,,,,,,,,,,,
Agent,Emperor Charles V,Emperor Charles V.md,Emperor Charles V,fwobE2DWRXRY,783005579025664312908,catalog_identifier,,,,,,,,,,,,,,
Agent,Emperor Charles V,Emperor Charles V.md,Emperor Charles V,fwobE2DWRXRY,783005579025664312908,present_in_work,,,,,,,,,,,,,,
Agent,Emperor Charles V,Emperor Charles V.md,Emperor Charles V,fwobE2DWRXRY,783005579025664312908,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q32500
