class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia degli Erranti di Ceneda,,,Accademia degli Erranti di Ceneda,Accademia degli Erranti di Ceneda.md,HpAhbrLTqQTH,326247255244379333205,identifier,,,,,,,,,,,,,,,,
Organisation,Accademia degli Erranti di Ceneda,,,Accademia degli Erranti di Ceneda,Accademia degli Erranti di Ceneda.md,HpAhbrLTqQTH,326247255244379333205,described_by_source,,,,,,,,,,,,,,,,
Organisation,Accademia degli Erranti di Ceneda,,,Accademia degli Erranti di Ceneda,Accademia degli Erranti di Ceneda.md,HpAhbrLTqQTH,326247255244379333205,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,
Organisation,Accademia degli Erranti di Ceneda,,,Accademia degli Erranti di Ceneda,Accademia degli Erranti di Ceneda.md,HpAhbrLTqQTH,326247255244379333205,inception,,,,,,,,,,,,,,,,
Organisation,Accademia degli Erranti di Ceneda,,,Accademia degli Erranti di Ceneda,Accademia degli Erranti di Ceneda.md,HpAhbrLTqQTH,326247255244379333205,dissolved,,,,,,,,,,,,,,,,
Organisation,Accademia degli Erranti di Ceneda,,,Accademia degli Erranti di Ceneda,Accademia degli Erranti di Ceneda.md,HpAhbrLTqQTH,326247255244379333205,location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Y9yKbkFtYyYp,Ceneda,,,,,,,,
Organisation,Accademia degli Erranti di Ceneda,,,Accademia degli Erranti di Ceneda,Accademia degli Erranti di Ceneda.md,HpAhbrLTqQTH,326247255244379333205,official_website,,,,,,,,,,,,,,,,
Organisation,Accademia degli Erranti di Ceneda,,,Accademia degli Erranti di Ceneda,Accademia degli Erranti di Ceneda.md,HpAhbrLTqQTH,326247255244379333205,catalog_identifier,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",491.0,,,,,
Organisation,Accademia degli Erranti di Ceneda,,,Accademia degli Erranti di Ceneda,Accademia degli Erranti di Ceneda.md,HpAhbrLTqQTH,326247255244379333205,member,,,,,,,,,,,,,,,,
Organisation,Accademia degli Erranti di Ceneda,,,Accademia degli Erranti di Ceneda,Accademia degli Erranti di Ceneda.md,HpAhbrLTqQTH,326247255244379333205,interested_in,,,,,,,,,,,,,,,,
Organisation,Accademia degli Erranti di Ceneda,,,Accademia degli Erranti di Ceneda,Accademia degli Erranti di Ceneda.md,HpAhbrLTqQTH,326247255244379333205,notable_work,,,,,,,,,,,,,,,,
Organisation,Accademia degli Erranti di Ceneda,,,Accademia degli Erranti di Ceneda,Accademia degli Erranti di Ceneda.md,HpAhbrLTqQTH,326247255244379333205,related_to,,,,,,,,,,,,,,,,
Organisation,Accademia degli Erranti di Ceneda,,,Accademia degli Erranti di Ceneda,Accademia degli Erranti di Ceneda.md,HpAhbrLTqQTH,326247255244379333205,motto,,,,,,,,,,,,,,,,
