class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_value,identifier_value,described_by_source_value,described_by_source_label
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,ASH2gWgAmJJD,173871346298000587061,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,ASH2gWgAmJJD,173871346298000587061,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,ASH2gWgAmJJD,173871346298000587061,work_location,,,,,,,,,,,,,,,,,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,ASH2gWgAmJJD,173871346298000587061,member_of,,,,,,,,,,,,,,,,,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,ASH2gWgAmJJD,173871346298000587061,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4KLdoEW9rAv,patron of the arts,,,,,,,,,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,ASH2gWgAmJJD,173871346298000587061,related_to,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MaxTYmUANWX3,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4KLdoEW9rAv', 'label': 'patron of the arts'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fd9ZVb3FMniL', 'label': '(Stras 2018)'}]",Cipriano de Rore,,,,,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,ASH2gWgAmJJD,173871346298000587061,related_to,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/W8xXxz7ZbMdA,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4KLdoEW9rAv', 'label': 'patron of the arts'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fd9ZVb3FMniL', 'label': '(Stras 2018)'}]",Alvise Castellino,,,,,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,ASH2gWgAmJJD,173871346298000587061,related_to,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7Y29ffZ8xr7v,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4KLdoEW9rAv', 'label': 'patron of the arts'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fd9ZVb3FMniL', 'label': '(Stras 2018)'}]",Alfonso dalla Viola,,,,,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,ASH2gWgAmJJD,173871346298000587061,related_to,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EBMKwsCza3hd,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4KLdoEW9rAv', 'label': 'patron of the arts'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fd9ZVb3FMniL', 'label': '(Stras 2018)'}]",Ludovico Ariosto,,,,,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,ASH2gWgAmJJD,173871346298000587061,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,ASH2gWgAmJJD,173871346298000587061,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AL8ANZ5AsJoF,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fd9ZVb3FMniL', 'label': '(Stras 2018)'}]",Reformed Christianity,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,ASH2gWgAmJJD,173871346298000587061,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dkw9yTeHkpNT,,heterodoxy,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,ASH2gWgAmJJD,173871346298000587061,catalog_identifier,,,,,,,,,,,,,,,,,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,ASH2gWgAmJJD,173871346298000587061,identifier,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q235841,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,ASH2gWgAmJJD,173871346298000587061,described_by_source,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fd9ZVb3FMniL,(Stras 2018)
