class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value
PoeticWork,"Fera, son'io di quest'ombroso loco",,,"Fera, son'io di quest'ombroso loco","Fera, son'io di quest'ombroso loco.md",3wMsGRkDuSfE,39949832448888721296,identifier,https://lyra.unil.ch/poems/2524,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Fera, son'io di quest'ombroso loco",,,"Fera, son'io di quest'ombroso loco","Fera, son'io di quest'ombroso loco.md",3wMsGRkDuSfE,39949832448888721296,identifier,https://versologie.cz/poetree/browser/poem?corpus=it&id_poem=29221,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Fera, son'io di quest'ombroso loco",,,"Fera, son'io di quest'ombroso loco","Fera, son'io di quest'ombroso loco.md",3wMsGRkDuSfE,39949832448888721296,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/24PiFs2FWWtK,Progetto Lyra,,,,,,,,,,,,,,,,,,,
PoeticWork,"Fera, son'io di quest'ombroso loco",,,"Fera, son'io di quest'ombroso loco","Fera, son'io di quest'ombroso loco.md",3wMsGRkDuSfE,39949832448888721296,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,
PoeticWork,"Fera, son'io di quest'ombroso loco",,,"Fera, son'io di quest'ombroso loco","Fera, son'io di quest'ombroso loco.md",3wMsGRkDuSfE,39949832448888721296,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QCahxhU4Tbt4', 'label': 'Chiara Matraini'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ,author,,,,,,,,,,,,,,
PoeticWork,"Fera, son'io di quest'ombroso loco",,,"Fera, son'io di quest'ombroso loco","Fera, son'io di quest'ombroso loco.md",3wMsGRkDuSfE,39949832448888721296,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FH4Qpne4sWzF,59.0,Rime di diversi signori napoletani Libro settimo,,,,,,,,,,,
PoeticWork,"Fera, son'io di quest'ombroso loco",,,"Fera, son'io di quest'ombroso loco","Fera, son'io di quest'ombroso loco.md",3wMsGRkDuSfE,39949832448888721296,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Fera, son'io di quest'ombroso loco",,,"Fera, son'io di quest'ombroso loco","Fera, son'io di quest'ombroso loco.md",3wMsGRkDuSfE,39949832448888721296,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Fera, son'io di quest'ombroso loco",,,"Fera, son'io di quest'ombroso loco","Fera, son'io di quest'ombroso loco.md",3wMsGRkDuSfE,39949832448888721296,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gcrqwjgvBQyM,despair,,,,,,,
PoeticWork,"Fera, son'io di quest'ombroso loco",,,"Fera, son'io di quest'ombroso loco","Fera, son'io di quest'ombroso loco.md",3wMsGRkDuSfE,39949832448888721296,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6UgHPJzzmPCX,departure,,,,,,,
