class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_external_source,has_version_IIIF_manifest,has_version_holding_institution,contributor_role,contributor_value,contributor_label,subject_value,based_on_value,catalog_identifier_value,has_part_value,depicts_value
Book,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo,,,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo.md,ALznK9Pa7h2H,171964417349287780206,identifier,https://edit16.iccu.sbn.it/titolo/CNCE026070,,,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo,,,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo.md,ALznK9Pa7h2H,171964417349287780206,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2F500170010,,,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo,,,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo.md,ALznK9Pa7h2H,171964417349287780206,identifier,https://lyra.unil.ch/books/4,,,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo,,,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo.md,ALznK9Pa7h2H,171964417349287780206,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo,,,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo.md,ALznK9Pa7h2H,171964417349287780206,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/24PiFs2FWWtK,Progetto Lyra,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo,,,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo.md,ALznK9Pa7h2H,171964417349287780206,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,,,
Book,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo,,,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo.md,ALznK9Pa7h2H,171964417349287780206,title,,,,,,Rime di diuersi nobili huomini et eccellenti poeti nella lingua thoscana. Libro secondo,,,,,,,,,,,,,,,,
Book,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo,,,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo.md,ALznK9Pa7h2H,171964417349287780206,inception,,,,,,,1547.0,,,,,,,,,,,,,,,
Book,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo,,,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo.md,ALznK9Pa7h2H,171964417349287780206,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE026070,1547.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dt83qSxSrD7X', 'label': ""Gabriele Giolito de' Ferrari""}",https://viewer.onb.ac.at/10AA1E4D/,https://api.onb.ac.at/iiif/presentation/v3/manifest/10AA1E4D,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UwTkUJm3SQTb', 'label': 'Austrian National Library'}",,,,,,,,
Book,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo,,,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo,Rime di diversi nobili uomini et eccellenti poeti nella lingua toscana. Libro secondo.md,ALznK9Pa7h2H,171964417349287780206,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/V5TVPGB5izXm,Giulio Camillo,,,,,
