class,base_name,filename,label,id,n_id,property,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publisher,has_version_publication_date,has_version_external_source,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value,depicts_label,language_value,language_label
Book,La Ferinda commedia Di Giovan Battista Andreini,La Ferinda commedia Di Giovan Battista Andreini.md,La Ferinda commedia Di Giovan Battista Andreini,dzbPHFAeDfMv,742742330849422900696,described_by_source,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011),,,,,,,,,,,,,,,,,,,,,,,
Book,La Ferinda commedia Di Giovan Battista Andreini,La Ferinda commedia Di Giovan Battista Andreini.md,La Ferinda commedia Di Giovan Battista Andreini,dzbPHFAeDfMv,742742330849422900696,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T4QqNLwvD5Lj,comedy,,,,,,,,,,,,,,,,,,,,,
Book,La Ferinda commedia Di Giovan Battista Andreini,La Ferinda commedia Di Giovan Battista Andreini.md,La Ferinda commedia Di Giovan Battista Andreini,dzbPHFAeDfMv,742742330849422900696,title,,,,,La Ferinda commedia. Di Giouan Battista Andreini fiorentino. All'illustrissimo et eccellentissimo sre. duca d'Alui Pari di Francia,,,,,,,,,,,,,,,,,,,,
Book,La Ferinda commedia Di Giovan Battista Andreini,La Ferinda commedia Di Giovan Battista Andreini.md,La Ferinda commedia Di Giovan Battista Andreini,dzbPHFAeDfMv,742742330849422900696,inception,,,,,,162.0,,,,,,,,,,,,,,,,,,,
Book,La Ferinda commedia Di Giovan Battista Andreini,La Ferinda commedia Di Giovan Battista Andreini.md,La Ferinda commedia Di Giovan Battista Andreini,dzbPHFAeDfMv,742742330849422900696,has_version,,,,,,,http://id.sbn.it/bid/BVEE041191,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S8XWwiEFCvS3', 'label': 'Bibliothèque nationale de France'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dhbQrFWynqRh', 'label': 'Paris'}]",,162.0,https://gallica.bnf.fr/ark:/12148/bpt6k574014,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k574014/manifest.json,,,,,,,,,,,,
Book,La Ferinda commedia Di Giovan Battista Andreini,La Ferinda commedia Di Giovan Battista Andreini.md,La Ferinda commedia Di Giovan Battista Andreini,dzbPHFAeDfMv,742742330849422900696,has_version,,,,,,,http://id.sbn.it/bid/BVEE041191,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dhbQrFWynqRh', 'label': 'Paris'}]",,162.0,https://books.google.be/books?id=JnFJgPOx_vcC,,,,,,,,,,,,,
Book,La Ferinda commedia Di Giovan Battista Andreini,La Ferinda commedia Di Giovan Battista Andreini.md,La Ferinda commedia Di Giovan Battista Andreini,dzbPHFAeDfMv,742742330849422900696,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cS2ZRx7FP2Cu,Giambattista Andreini,,,,,,,,,
Book,La Ferinda commedia Di Giovan Battista Andreini,La Ferinda commedia Di Giovan Battista Andreini.md,La Ferinda commedia Di Giovan Battista Andreini,dzbPHFAeDfMv,742742330849422900696,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,,,,,,
Book,La Ferinda commedia Di Giovan Battista Andreini,La Ferinda commedia Di Giovan Battista Andreini.md,La Ferinda commedia Di Giovan Battista Andreini,dzbPHFAeDfMv,742742330849422900696,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
Book,La Ferinda commedia Di Giovan Battista Andreini,La Ferinda commedia Di Giovan Battista Andreini.md,La Ferinda commedia Di Giovan Battista Andreini,dzbPHFAeDfMv,742742330849422900696,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,,,,
