class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Antonio Bulifon,,,Antonio Bulifon,Antonio Bulifon.md,VM85GBF4pL3f,564086401154124822427,identifier,http://www.wikidata.org/entity/Q20007459,,,,,,,,,,,,,,,,,
Agent,Antonio Bulifon,,,Antonio Bulifon,Antonio Bulifon.md,VM85GBF4pL3f,564086401154124822427,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Antonio Bulifon,,,Antonio Bulifon,Antonio Bulifon.md,VM85GBF4pL3f,564086401154124822427,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Antonio Bulifon,,,Antonio Bulifon,Antonio Bulifon.md,VM85GBF4pL3f,564086401154124822427,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Antonio Bulifon,,,Antonio Bulifon,Antonio Bulifon.md,VM85GBF4pL3f,564086401154124822427,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gbLYmsbE7QZL,Napoli,,,,,,,,,,
Agent,Antonio Bulifon,,,Antonio Bulifon,Antonio Bulifon.md,VM85GBF4pL3f,564086401154124822427,member_of,,,,,,,,,,,,,,,,,,
Agent,Antonio Bulifon,,,Antonio Bulifon,Antonio Bulifon.md,VM85GBF4pL3f,564086401154124822427,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJzQoB8QSGjd,editor,,,,,,,
Agent,Antonio Bulifon,,,Antonio Bulifon,Antonio Bulifon.md,VM85GBF4pL3f,564086401154124822427,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,,,
Agent,Antonio Bulifon,,,Antonio Bulifon,Antonio Bulifon.md,VM85GBF4pL3f,564086401154124822427,related_to,,,,,,,,,,,,,,,,,,
Agent,Antonio Bulifon,,,Antonio Bulifon,Antonio Bulifon.md,VM85GBF4pL3f,564086401154124822427,notable_work,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h6rbpvv44fCy,"Rime delle signore Lucrezia Marinella, Veronica Gambara, ed Isabella Della Morra. Di nuouo date in luce da Antonio Bulifon",,,,
Agent,Antonio Bulifon,,,Antonio Bulifon,Antonio Bulifon.md,VM85GBF4pL3f,564086401154124822427,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4Q6mPjKkDUQ,querelle des femmes,,
Agent,Antonio Bulifon,,,Antonio Bulifon,Antonio Bulifon.md,VM85GBF4pL3f,564086401154124822427,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Antonio Bulifon,,,Antonio Bulifon,Antonio Bulifon.md,VM85GBF4pL3f,564086401154124822427,present_in_work,,,,,,,,,,,,,,,,,,
