class,description,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,described_by_source_value,described_by_source_label
Concept,Social game played during carnival season by the members of the Accademia delle Virtù in Rome in the 1530's.,Giuoco delle Virtù,Giuoco delle Virtù.md,Giuoco delle Virtù,KxcsDiAvoi7U,370581530696682521261,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GewRJWWph5KT,parlour game,,,
Concept,Social game played during carnival season by the members of the Accademia delle Virtù in Rome in the 1530's.,Giuoco delle Virtù,Giuoco delle Virtù.md,Giuoco delle Virtù,KxcsDiAvoi7U,370581530696682521261,subclass_of,,,,,
Concept,Social game played during carnival season by the members of the Accademia delle Virtù in Rome in the 1530's.,Giuoco delle Virtù,Giuoco delle Virtù.md,Giuoco delle Virtù,KxcsDiAvoi7U,370581530696682521261,described_by_source,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7VwEEvbhjKZB,(Moroncini 2017)
Concept,Social game played during carnival season by the members of the Accademia delle Virtù in Rome in the 1530's.,Giuoco delle Virtù,Giuoco delle Virtù.md,Giuoco delle Virtù,KxcsDiAvoi7U,370581530696682521261,described_by_source,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mzbsVFUqEnzX,(Moroncini 2020)
