class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,present_in_work_label
Agent,Flori,Flori.md,Flori,YoDNNDAxiCJF,635440630852097391886,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BGQNJxxjkLkV,literary character,,,,,,,,,,,,
Agent,Flori,Flori.md,Flori,YoDNNDAxiCJF,635440630852097391886,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,
Agent,Flori,Flori.md,Flori,YoDNNDAxiCJF,635440630852097391886,work_location,,,,,,,,,,,,,,
Agent,Flori,Flori.md,Flori,YoDNNDAxiCJF,635440630852097391886,member_of,,,,,,,,,,,,,,
Agent,Flori,Flori.md,Flori,YoDNNDAxiCJF,635440630852097391886,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ByFdYpwqvPWu,nymph,,,,,,
Agent,Flori,Flori.md,Flori,YoDNNDAxiCJF,635440630852097391886,related_to,,,,,,,,,,,,,,
Agent,Flori,Flori.md,Flori,YoDNNDAxiCJF,635440630852097391886,notable_work,,,,,,,,,,,,,,
Agent,Flori,Flori.md,Flori,YoDNNDAxiCJF,635440630852097391886,interested_in,,,,,,,,,,,,,,
Agent,Flori,Flori.md,Flori,YoDNNDAxiCJF,635440630852097391886,catalog_identifier,,,,,,,,,,,,,,
Agent,Flori,Flori.md,Flori,YoDNNDAxiCJF,635440630852097391886,present_in_work,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AcZTTxreq22N,Flori favola boscareccia di Maddalena Campiglia
