class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,identifier_value
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,SkU8K6nXSqeb,510632837337227665812,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,SkU8K6nXSqeb,510632837337227665812,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,SkU8K6nXSqeb,510632837337227665812,work_location,,,,,,,,,,,,,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,SkU8K6nXSqeb,510632837337227665812,member_of,,,,,,,,,,,,,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,SkU8K6nXSqeb,510632837337227665812,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/imEvebZ5kR6C,actor,,,,,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,SkU8K6nXSqeb,510632837337227665812,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,SkU8K6nXSqeb,510632837337227665812,related_to,,,,,,,,,,,,,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,SkU8K6nXSqeb,510632837337227665812,notable_work,,,,,,,,,,,,,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,SkU8K6nXSqeb,510632837337227665812,interested_in,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kNR7wGs7pHDt,humorous poetry,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,SkU8K6nXSqeb,510632837337227665812,interested_in,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KbxBVs3YAzhk,bizzarria,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,SkU8K6nXSqeb,510632837337227665812,interested_in,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,SkU8K6nXSqeb,510632837337227665812,catalog_identifier,,,,,,,,,,,,,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,SkU8K6nXSqeb,510632837337227665812,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q352272
