class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",AJjWMiX9cbvY,171143300936662180953,identifier,https://versologie.cz/poetree/browser/poem?corpus=it&id_poem=29251,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",AJjWMiX9cbvY,171143300936662180953,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B8k36QrtTQLU,Progetto Lyra,,,,,,,,,,,,,,,,,,,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",AJjWMiX9cbvY,171143300936662180953,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",AJjWMiX9cbvY,171143300936662180953,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6S47e6TzBP6e', 'label': 'Chiara Matraini'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq,author,,,,,,,,,,,,,,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",AJjWMiX9cbvY,171143300936662180953,part_of,,,,,,,,,"Chiara Matraini, IV",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dbmAAqzyQVgt,(van Dooren 1992),,,,,,,,,,,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",AJjWMiX9cbvY,171143300936662180953,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",AJjWMiX9cbvY,171143300936662180953,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",AJjWMiX9cbvY,171143300936662180953,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hxGbZLpsZTDB,elegy,,,,,,,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",AJjWMiX9cbvY,171143300936662180953,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",AJjWMiX9cbvY,171143300936662180953,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",AJjWMiX9cbvY,171143300936662180953,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/V6cqVoABPVYS,child,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",AJjWMiX9cbvY,171143300936662180953,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/D3F7Qwb9dCYu,death,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",AJjWMiX9cbvY,171143300936662180953,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GunL4YX3Pbtj,storm,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",AJjWMiX9cbvY,171143300936662180953,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YNz7hZ7AqXJk,weeping,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",AJjWMiX9cbvY,171143300936662180953,text,,,,,,,,,,,,,,,,,,,,,,"Tu dunque, figlio, sei morto, che solo
Eri qui della mia vita conforto,
E del mio legno travagliato il porto,
E d'ogn'orrida mia tempesta il polo?

Ahi come presto al Cielo alzato a volo
Ti sei, lasciando me per questo torto
Camin, dov'or dubbiosa e stanca porto
Questa mia vita fral carca di duolo.

Ma poiché così piacque al tuo Fattore,
Pregal che tempri almeno il dolor mio,
Che col pianger non turbi il tuo diletto;

E vien talor con filiale amore
A consolarmi, onde quest'aspro e rio
Dolor volghi in più caro e santo affetto."
