class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Jacopo Sannazaro,,,Jacopo Sannazaro,Jacopo Sannazaro.md,AjNf7Seeiq55,180061728471646466556,identifier,http://www.wikidata.org/entity/Q510621,,,,,,,,,,,,,,,,
Agent,Jacopo Sannazaro,,,Jacopo Sannazaro,Jacopo Sannazaro.md,AjNf7Seeiq55,180061728471646466556,described_by_source,,,,,,,,,,,,,,,,,
Agent,Jacopo Sannazaro,,,Jacopo Sannazaro,Jacopo Sannazaro.md,AjNf7Seeiq55,180061728471646466556,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Jacopo Sannazaro,,,Jacopo Sannazaro,Jacopo Sannazaro.md,AjNf7Seeiq55,180061728471646466556,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,Jacopo Sannazaro,,,Jacopo Sannazaro,Jacopo Sannazaro.md,AjNf7Seeiq55,180061728471646466556,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bpRYamR8DUKq,Napoli,,,,,,,,,
Agent,Jacopo Sannazaro,,,Jacopo Sannazaro,Jacopo Sannazaro.md,AjNf7Seeiq55,180061728471646466556,member_of,,,,,,,,,,,,,,,,,
Agent,Jacopo Sannazaro,,,Jacopo Sannazaro,Jacopo Sannazaro.md,AjNf7Seeiq55,180061728471646466556,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,
Agent,Jacopo Sannazaro,,,Jacopo Sannazaro,Jacopo Sannazaro.md,AjNf7Seeiq55,180061728471646466556,related_to,,,,,,,,,,,,,,,,,
Agent,Jacopo Sannazaro,,,Jacopo Sannazaro,Jacopo Sannazaro.md,AjNf7Seeiq55,180061728471646466556,notable_work,,,,,,,,,,,,,,,,,
Agent,Jacopo Sannazaro,,,Jacopo Sannazaro,Jacopo Sannazaro.md,AjNf7Seeiq55,180061728471646466556,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kVrAkrexneyx,pastoral,,
Agent,Jacopo Sannazaro,,,Jacopo Sannazaro,Jacopo Sannazaro.md,AjNf7Seeiq55,180061728471646466556,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Jacopo Sannazaro,,,Jacopo Sannazaro,Jacopo Sannazaro.md,AjNf7Seeiq55,180061728471646466556,present_in_work,,,,,,,,,,,,,,,,,
