class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publication_date,has_version_external_source,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,Le immagini del tempio della signora donna Giovanna Aragona,(Fictional) dialogues from academic gatherings of salonnière Giovanna d'Aragona.,"[""Le insegne del tempio della signora donna Giovanna d'Aragona""]",Le immagini del tempio della signora donna Giovanna Aragona,Le immagini del tempio della signora donna Giovanna Aragona.md,8DWzsnTmBegD,127981944286350477308,identifier,https://edit16.iccu.sbn.it/titolo/CNCE005675,,,,,,,,,,,,,,,,,,
Book,Le immagini del tempio della signora donna Giovanna Aragona,(Fictional) dialogues from academic gatherings of salonnière Giovanna d'Aragona.,"[""Le insegne del tempio della signora donna Giovanna d'Aragona""]",Le immagini del tempio della signora donna Giovanna Aragona,Le immagini del tempio della signora donna Giovanna Aragona.md,8DWzsnTmBegD,127981944286350477308,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVSttRUbFw6e,(Faini 2020),,,,,,,,,,,,,,,,
Book,Le immagini del tempio della signora donna Giovanna Aragona,(Fictional) dialogues from academic gatherings of salonnière Giovanna d'Aragona.,"[""Le insegne del tempio della signora donna Giovanna d'Aragona""]",Le immagini del tempio della signora donna Giovanna Aragona,Le immagini del tempio della signora donna Giovanna Aragona.md,8DWzsnTmBegD,127981944286350477308,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,
Book,Le immagini del tempio della signora donna Giovanna Aragona,(Fictional) dialogues from academic gatherings of salonnière Giovanna d'Aragona.,"[""Le insegne del tempio della signora donna Giovanna d'Aragona""]",Le immagini del tempio della signora donna Giovanna Aragona,Le immagini del tempio della signora donna Giovanna Aragona.md,8DWzsnTmBegD,127981944286350477308,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2UUH2dSJC9jn,dialogue,,,,,,,,,,,,,,
Book,Le immagini del tempio della signora donna Giovanna Aragona,(Fictional) dialogues from academic gatherings of salonnière Giovanna d'Aragona.,"[""Le insegne del tempio della signora donna Giovanna d'Aragona""]",Le immagini del tempio della signora donna Giovanna Aragona,Le immagini del tempio della signora donna Giovanna Aragona.md,8DWzsnTmBegD,127981944286350477308,title,,,,,,"Le imagini del tempio della signora donna Giouanna Aragona, dialogo di m. Giuseppe Betussi",,,,,,,,,,,,,
Book,Le immagini del tempio della signora donna Giovanna Aragona,(Fictional) dialogues from academic gatherings of salonnière Giovanna d'Aragona.,"[""Le insegne del tempio della signora donna Giovanna d'Aragona""]",Le immagini del tempio della signora donna Giovanna Aragona,Le immagini del tempio della signora donna Giovanna Aragona.md,8DWzsnTmBegD,127981944286350477308,inception,,,,,,,,,,,,,,,,,,,
Book,Le immagini del tempio della signora donna Giovanna Aragona,(Fictional) dialogues from academic gatherings of salonnière Giovanna d'Aragona.,"[""Le insegne del tempio della signora donna Giovanna d'Aragona""]",Le immagini del tempio della signora donna Giovanna Aragona,Le immagini del tempio della signora donna Giovanna Aragona.md,8DWzsnTmBegD,127981944286350477308,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE005675,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",1557.0,https://bdt.bibcom.trento.it/Testi-a-stampa/16076,https://dl.unito.it/fedora/objects/mag:956/datastreams/MMIIIF/content,,,,,,,
Book,Le immagini del tempio della signora donna Giovanna Aragona,(Fictional) dialogues from academic gatherings of salonnière Giovanna d'Aragona.,"[""Le insegne del tempio della signora donna Giovanna d'Aragona""]",Le immagini del tempio della signora donna Giovanna Aragona,Le immagini del tempio della signora donna Giovanna Aragona.md,8DWzsnTmBegD,127981944286350477308,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QLHvtTaEdNe2,Luca Contile,,,,
Book,Le immagini del tempio della signora donna Giovanna Aragona,(Fictional) dialogues from academic gatherings of salonnière Giovanna d'Aragona.,"[""Le insegne del tempio della signora donna Giovanna d'Aragona""]",Le immagini del tempio della signora donna Giovanna Aragona,Le immagini del tempio della signora donna Giovanna Aragona.md,8DWzsnTmBegD,127981944286350477308,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dnKqeJdTP2sv,Vittoria Colonna,,,,
Book,Le immagini del tempio della signora donna Giovanna Aragona,(Fictional) dialogues from academic gatherings of salonnière Giovanna d'Aragona.,"[""Le insegne del tempio della signora donna Giovanna d'Aragona""]",Le immagini del tempio della signora donna Giovanna Aragona,Le immagini del tempio della signora donna Giovanna Aragona.md,8DWzsnTmBegD,127981944286350477308,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EZMPVF777dGq,Giuseppe Betussi,,,,
