class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_value,identifier_value,described_by_source_value,described_by_source_label
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,BTu8aQJK5duX,195098588779523569688,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,BTu8aQJK5duX,195098588779523569688,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,BTu8aQJK5duX,195098588779523569688,work_location,,,,,,,,,,,,,,,,,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,BTu8aQJK5duX,195098588779523569688,member_of,,,,,,,,,,,,,,,,,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,BTu8aQJK5duX,195098588779523569688,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/84quSACff9vM,patron of the arts,,,,,,,,,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,BTu8aQJK5duX,195098588779523569688,related_to,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HaqU6ywkhBbi,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/84quSACff9vM', 'label': 'patron of the arts'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RMrG5qDMi6DF', 'label': '(Stras 2018)'}]",Cipriano de Rore,,,,,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,BTu8aQJK5duX,195098588779523569688,related_to,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4iFcw9ct9jUZ,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/84quSACff9vM', 'label': 'patron of the arts'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RMrG5qDMi6DF', 'label': '(Stras 2018)'}]",Alvise Castellino,,,,,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,BTu8aQJK5duX,195098588779523569688,related_to,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KjaJCjnYFATB,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/84quSACff9vM', 'label': 'patron of the arts'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RMrG5qDMi6DF', 'label': '(Stras 2018)'}]",Alfonso dalla Viola,,,,,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,BTu8aQJK5duX,195098588779523569688,related_to,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8qMTBqEnmhVL,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/84quSACff9vM', 'label': 'patron of the arts'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RMrG5qDMi6DF', 'label': '(Stras 2018)'}]",Ludovico Ariosto,,,,,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,BTu8aQJK5duX,195098588779523569688,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,BTu8aQJK5duX,195098588779523569688,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cicNbtAPsT2J,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RMrG5qDMi6DF', 'label': '(Stras 2018)'}]",Reformed Christianity,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,BTu8aQJK5duX,195098588779523569688,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrTwYNz6rjM4,,heterodoxy,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,BTu8aQJK5duX,195098588779523569688,catalog_identifier,,,,,,,,,,,,,,,,,,,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,BTu8aQJK5duX,195098588779523569688,identifier,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q235841,,
Agent,['Renée of France'],Renée of Valois,Renée of Valois.md,Renée of Valois,BTu8aQJK5duX,195098588779523569688,described_by_source,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RMrG5qDMi6DF,(Stras 2018)
