class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_label,occupation_value,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Lodovico Domenichi,,['Ludovico Domenichi'],Lodovico Domenichi,Lodovico Domenichi.md,S6k4cZpBdTPw,496976782576779184166,identifier,http://www.wikidata.org/entity/Q3257803,,,,,,,,,,,,,,,,,
Agent,Lodovico Domenichi,,['Ludovico Domenichi'],Lodovico Domenichi,Lodovico Domenichi.md,S6k4cZpBdTPw,496976782576779184166,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Lodovico Domenichi,,['Ludovico Domenichi'],Lodovico Domenichi,Lodovico Domenichi.md,S6k4cZpBdTPw,496976782576779184166,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Lodovico Domenichi,,['Ludovico Domenichi'],Lodovico Domenichi,Lodovico Domenichi.md,S6k4cZpBdTPw,496976782576779184166,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,
Agent,Lodovico Domenichi,,['Ludovico Domenichi'],Lodovico Domenichi,Lodovico Domenichi.md,S6k4cZpBdTPw,496976782576779184166,work_location,,,,,,,,,,,,,,,,,,
Agent,Lodovico Domenichi,,['Ludovico Domenichi'],Lodovico Domenichi,Lodovico Domenichi.md,S6k4cZpBdTPw,496976782576779184166,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PcSAmp3XwxFu,Accademia degli Ortolani di Piacenza,,,,,,,,,
Agent,Lodovico Domenichi,,['Ludovico Domenichi'],Lodovico Domenichi,Lodovico Domenichi.md,S6k4cZpBdTPw,496976782576779184166,occupation,,,,,,,,,,,,,,,,,,
Agent,Lodovico Domenichi,,['Ludovico Domenichi'],Lodovico Domenichi,Lodovico Domenichi.md,S6k4cZpBdTPw,496976782576779184166,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJaARznhrRx9,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VhyHLKrTwA7t', 'label': 'colleague'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7VwEEvbhjKZB', 'label': '(Moroncini 2017)'}]",Anton Francesco Doni,,,,
Agent,Lodovico Domenichi,,['Ludovico Domenichi'],Lodovico Domenichi,Lodovico Domenichi.md,S6k4cZpBdTPw,496976782576779184166,notable_work,,,,,,,,,,,,,,,,,,
Agent,Lodovico Domenichi,,['Ludovico Domenichi'],Lodovico Domenichi,Lodovico Domenichi.md,S6k4cZpBdTPw,496976782576779184166,interested_in,,,,,,,,,,,,,,,,,,
Agent,Lodovico Domenichi,,['Ludovico Domenichi'],Lodovico Domenichi,Lodovico Domenichi.md,S6k4cZpBdTPw,496976782576779184166,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",16550.0
