class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,official_website_value,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value
Organisation,Munich Digitization Center,,"['MDZ', 'Münchener Digitalisierungszentrum']",Munich Digitization Center,Munich Digitization Center.md,Vr34aVTZvrrW,574553534840459204329,identifier,http://www.wikidata.org/entity/Q1645155,,,,,,,,,,,,
Organisation,Munich Digitization Center,,"['MDZ', 'Münchener Digitalisierungszentrum']",Munich Digitization Center,Munich Digitization Center.md,Vr34aVTZvrrW,574553534840459204329,described_by_source,,,,,,,,,,,,,
Organisation,Munich Digitization Center,,"['MDZ', 'Münchener Digitalisierungszentrum']",Munich Digitization Center,Munich Digitization Center.md,Vr34aVTZvrrW,574553534840459204329,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/M8DkfPxU28Gc,digital library,,,,,,,,,
Organisation,Munich Digitization Center,,"['MDZ', 'Münchener Digitalisierungszentrum']",Munich Digitization Center,Munich Digitization Center.md,Vr34aVTZvrrW,574553534840459204329,inception,,,,,,,,,,,,,
Organisation,Munich Digitization Center,,"['MDZ', 'Münchener Digitalisierungszentrum']",Munich Digitization Center,Munich Digitization Center.md,Vr34aVTZvrrW,574553534840459204329,dissolved,,,,,,,,,,,,,
Organisation,Munich Digitization Center,,"['MDZ', 'Münchener Digitalisierungszentrum']",Munich Digitization Center,Munich Digitization Center.md,Vr34aVTZvrrW,574553534840459204329,location,,,,,,,,,,,,,
Organisation,Munich Digitization Center,,"['MDZ', 'Münchener Digitalisierungszentrum']",Munich Digitization Center,Munich Digitization Center.md,Vr34aVTZvrrW,574553534840459204329,official_website,,,,,,,,https://www.digitale-sammlungen.de,,,,,
Organisation,Munich Digitization Center,,"['MDZ', 'Münchener Digitalisierungszentrum']",Munich Digitization Center,Munich Digitization Center.md,Vr34aVTZvrrW,574553534840459204329,catalog_identifier,,,,,,,,,,,,,
Organisation,Munich Digitization Center,,"['MDZ', 'Münchener Digitalisierungszentrum']",Munich Digitization Center,Munich Digitization Center.md,Vr34aVTZvrrW,574553534840459204329,member,,,,,,,,,,,,,
Organisation,Munich Digitization Center,,"['MDZ', 'Münchener Digitalisierungszentrum']",Munich Digitization Center,Munich Digitization Center.md,Vr34aVTZvrrW,574553534840459204329,interested_in,,,,,,,,,,,,,
Organisation,Munich Digitization Center,,"['MDZ', 'Münchener Digitalisierungszentrum']",Munich Digitization Center,Munich Digitization Center.md,Vr34aVTZvrrW,574553534840459204329,notable_work,,,,,,,,,,,,,
Organisation,Munich Digitization Center,,"['MDZ', 'Münchener Digitalisierungszentrum']",Munich Digitization Center,Munich Digitization Center.md,Vr34aVTZvrrW,574553534840459204329,related_to,,,,,,,,,,,,,
