class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Giovanna d'Aragona,Giovanna d'Aragona.md,Giovanna d'Aragona,drasiKYKtnDo,739842881774878547538,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Giovanna d'Aragona,Giovanna d'Aragona.md,Giovanna d'Aragona,drasiKYKtnDo,739842881774878547538,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,
Agent,Giovanna d'Aragona,Giovanna d'Aragona.md,Giovanna d'Aragona,drasiKYKtnDo,739842881774878547538,work_location,,,,,,,,,,,,,
Agent,Giovanna d'Aragona,Giovanna d'Aragona.md,Giovanna d'Aragona,drasiKYKtnDo,739842881774878547538,member_of,,,,,,,,,,,,,
Agent,Giovanna d'Aragona,Giovanna d'Aragona.md,Giovanna d'Aragona,drasiKYKtnDo,739842881774878547538,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LyEatsU6bs4d,politician,,,,,
Agent,Giovanna d'Aragona,Giovanna d'Aragona.md,Giovanna d'Aragona,drasiKYKtnDo,739842881774878547538,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4KLdoEW9rAv,patron of the arts,,,,,
Agent,Giovanna d'Aragona,Giovanna d'Aragona.md,Giovanna d'Aragona,drasiKYKtnDo,739842881774878547538,related_to,,,,,,,,,,,,,
Agent,Giovanna d'Aragona,Giovanna d'Aragona.md,Giovanna d'Aragona,drasiKYKtnDo,739842881774878547538,notable_work,,,,,,,,,,,,,
Agent,Giovanna d'Aragona,Giovanna d'Aragona.md,Giovanna d'Aragona,drasiKYKtnDo,739842881774878547538,interested_in,,,,,,,,,,,,,
Agent,Giovanna d'Aragona,Giovanna d'Aragona.md,Giovanna d'Aragona,drasiKYKtnDo,739842881774878547538,catalog_identifier,,,,,,,,,,,,,
Agent,Giovanna d'Aragona,Giovanna d'Aragona.md,Giovanna d'Aragona,drasiKYKtnDo,739842881774878547538,present_in_work,,,,,,,,,,,,,
