class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_external_source,has_version_IIIF_manifest,has_version_place_of_publication,has_version_holding_institution,has_version_permalink,has_version_note,has_version_publication_date,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,AqfSVRY3KtFh,182340497704051428540,identifier,http://id.sbn.it/bid/VIAE008330,,,,,,,,,,,,,,,,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,AqfSVRY3KtFh,182340497704051428540,described_by_source,,,,,,,,,,,,,,,,,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,AqfSVRY3KtFh,182340497704051428540,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,AqfSVRY3KtFh,182340497704051428540,title,,,,,"Componimenti poetici delle piu' illustri rimatrici d'ogni secolo, raccolti da Luisa Bergalli. Parte prima [-seconda]",,,,,,,,,,,,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,AqfSVRY3KtFh,182340497704051428540,inception,,,,,,1726.0,,,,,,,,,,,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,AqfSVRY3KtFh,182340497704051428540,has_version,,,,,,,https://www.digitale-sammlungen.de/en/view/bsb10812949,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10812949/manifest,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}",http://id.sbn.it/bid/VIAE008330,volume 2,,,,,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,AqfSVRY3KtFh,182340497704051428540,has_version,,,,,,,https://www.digitale-sammlungen.de/en/view/bsb10754251,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10754251/manifest,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}",http://id.sbn.it/bid/VIAE008330,volume 1,1726.0,,,,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,AqfSVRY3KtFh,182340497704051428540,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CxoeEPW2RCZ6,Margherita Sarrocchi,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,AqfSVRY3KtFh,182340497704051428540,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8tGS59uVCGpC,Innocenza Carrari,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,AqfSVRY3KtFh,182340497704051428540,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ksGcW9hPLv6x,Barbara Torelli Benedetti,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,AqfSVRY3KtFh,182340497704051428540,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P6G7Bcmm3erw,Anna Rosalia Caruso,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,AqfSVRY3KtFh,182340497704051428540,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9w9F6C279ynQ,Elena Cornaro Piscopia,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,AqfSVRY3KtFh,182340497704051428540,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJzQoB8QSGjd', 'label': 'editor'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mEymkAcrMmYR,Luisa Bergalli,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,AqfSVRY3KtFh,182340497704051428540,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4Q6mPjKkDUQ,querelle des femmes,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,AqfSVRY3KtFh,182340497704051428540,has_part,,,,,,,,,,,,,,,,,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,AqfSVRY3KtFh,182340497704051428540,based_on,,,,,,,,,,,,,,,,,,,,
