class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publication_date,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,based_on_value,catalog_identifier_value,catalog_identifier_source,has_part_value
Book,Della segretezza,,,Della segretezza,Della segretezza.md,UTHRv34o9TTF,545682166996125325579,identifier,https://edit16.iccu.sbn.it/titolo/CNCE001591,,,,,,,,,,,,,,,,,
Book,Della segretezza,,,Della segretezza,Della segretezza.md,UTHRv34o9TTF,545682166996125325579,described_by_source,,,,,,,,,,,,,,,,,,
Book,Della segretezza,,,Della segretezza,Della segretezza.md,UTHRv34o9TTF,545682166996125325579,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m7L8ASjPN8nA,treatise,,,,,,,,,,,,,,
Book,Della segretezza,,,Della segretezza,Della segretezza.md,UTHRv34o9TTF,545682166996125325579,title,,,,,"Scipione Ammirato Della segretezza, all'illustriss. et eccellentiss. signore, il sig. don Giouanni de Medici",,,,,,,,,,,,,
Book,Della segretezza,,,Della segretezza,Della segretezza.md,UTHRv34o9TTF,545682166996125325579,inception,,,,,,1599.0,,,,,,,,,,,,
Book,Della segretezza,,,Della segretezza,Della segretezza.md,UTHRv34o9TTF,545682166996125325579,has_version,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE001591,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1599.0,https://books.google.be/books?id=qNKJbHy_GXAC,,,,,,,,
Book,Della segretezza,,,Della segretezza,Della segretezza.md,UTHRv34o9TTF,545682166996125325579,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jZoTyFnAARjr,Don Giovanni de' Medici,,,,,
Book,Della segretezza,,,Della segretezza,Della segretezza.md,UTHRv34o9TTF,545682166996125325579,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mYbAUyG2xjYe,Scipione Ammirato,,,,,
Book,Della segretezza,,,Della segretezza,Della segretezza.md,UTHRv34o9TTF,545682166996125325579,subject,,,,,,,,,,,,,,,,,,
Book,Della segretezza,,,Della segretezza,Della segretezza.md,UTHRv34o9TTF,545682166996125325579,based_on,,,,,,,,,,,,,,,,,,
Book,Della segretezza,,,Della segretezza,Della segretezza.md,UTHRv34o9TTF,545682166996125325579,catalog_identifier,,,,,,,,,,,,,,,,17367.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",
Book,Della segretezza,,,Della segretezza,Della segretezza.md,UTHRv34o9TTF,545682166996125325579,has_part,,,,,,,,,,,,,,,,,,
