class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Francesco Marcolini,,,Francesco Marcolini,Francesco Marcolini.md,Ugjg95iYkpuR,550555321874179787753,identifier,http://www.wikidata.org/entity/Q1441108,,,,,,,,,,,,,,,,,
Agent,Francesco Marcolini,,,Francesco Marcolini,Francesco Marcolini.md,Ugjg95iYkpuR,550555321874179787753,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJam8o3efkSd,(Faini 2020),,,,,,,,,,,,,,,
Agent,Francesco Marcolini,,,Francesco Marcolini,Francesco Marcolini.md,Ugjg95iYkpuR,550555321874179787753,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Francesco Marcolini,,,Francesco Marcolini,Francesco Marcolini.md,Ugjg95iYkpuR,550555321874179787753,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Francesco Marcolini,,,Francesco Marcolini,Francesco Marcolini.md,Ugjg95iYkpuR,550555321874179787753,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,,
Agent,Francesco Marcolini,,,Francesco Marcolini,Francesco Marcolini.md,Ugjg95iYkpuR,550555321874179787753,member_of,,,,,,,,,,,,,,,,,,
Agent,Francesco Marcolini,,,Francesco Marcolini,Francesco Marcolini.md,Ugjg95iYkpuR,550555321874179787753,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,,
Agent,Francesco Marcolini,,,Francesco Marcolini,Francesco Marcolini.md,Ugjg95iYkpuR,550555321874179787753,related_to,,,,,,,,,,,,,,,,,,
Agent,Francesco Marcolini,,,Francesco Marcolini,Francesco Marcolini.md,Ugjg95iYkpuR,550555321874179787753,notable_work,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QBoaEo6WRjpD,Le sorti di Francesco Marcolino,,,
Agent,Francesco Marcolini,,,Francesco Marcolini,Francesco Marcolini.md,Ugjg95iYkpuR,550555321874179787753,interested_in,,,,,,,,,,,,,,,,,,
Agent,Francesco Marcolini,,,Francesco Marcolini,Francesco Marcolini.md,Ugjg95iYkpuR,550555321874179787753,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",16234.0
