class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Vittorio Benacci,Vittorio Benacci.md,Vittorio Benacci,SFgnYFwb3ueW,500214348304201327132,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Vittorio Benacci,Vittorio Benacci.md,Vittorio Benacci,SFgnYFwb3ueW,500214348304201327132,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Vittorio Benacci,Vittorio Benacci.md,Vittorio Benacci,SFgnYFwb3ueW,500214348304201327132,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NAvcJHrBT6mr,Bologna,,,,,,,,
Agent,Vittorio Benacci,Vittorio Benacci.md,Vittorio Benacci,SFgnYFwb3ueW,500214348304201327132,member_of,,,,,,,,,,,,,,
Agent,Vittorio Benacci,Vittorio Benacci.md,Vittorio Benacci,SFgnYFwb3ueW,500214348304201327132,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,
Agent,Vittorio Benacci,Vittorio Benacci.md,Vittorio Benacci,SFgnYFwb3ueW,500214348304201327132,related_to,,,,,,,,,,,,,,
Agent,Vittorio Benacci,Vittorio Benacci.md,Vittorio Benacci,SFgnYFwb3ueW,500214348304201327132,notable_work,,,,,,,,,,,,,,
Agent,Vittorio Benacci,Vittorio Benacci.md,Vittorio Benacci,SFgnYFwb3ueW,500214348304201327132,interested_in,,,,,,,,,,,,,,
Agent,Vittorio Benacci,Vittorio Benacci.md,Vittorio Benacci,SFgnYFwb3ueW,500214348304201327132,catalog_identifier,,,,,,,,,,,,,,
Agent,Vittorio Benacci,Vittorio Benacci.md,Vittorio Benacci,SFgnYFwb3ueW,500214348304201327132,present_in_work,,,,,,,,,,,,,,
