class,description,base_name,filename,id,label,n_id,property,identifier_value,instance_of_value,instance_of_label,contributor_role,contributor_value,part_of_value,part_of_section,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value,described_by_source_value,described_by_source_label
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md",WqpDJ37eaN3S,"Fiere silvestre, che per lati campi",595114187870399026635,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/025800000501_PPPP00260406,,,,,,,,,,,,,,,,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md",WqpDJ37eaN3S,"Fiere silvestre, che per lati campi",595114187870399026635,instance_of,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md",WqpDJ37eaN3S,"Fiere silvestre, che per lati campi",595114187870399026635,contributor,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",[[Jacopo Sannazaro]],,,,,,,,,,,,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md",WqpDJ37eaN3S,"Fiere silvestre, che per lati campi",595114187870399026635,part_of,,,,,,[[Arcadia del Sannazaro]],Egloga I,,,,,,,,,,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md",WqpDJ37eaN3S,"Fiere silvestre, che per lati campi",595114187870399026635,based_on,,,,,,,,,,,,,,,,,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md",WqpDJ37eaN3S,"Fiere silvestre, che per lati campi",595114187870399026635,derivative_work,,,,,,,,,,,,,,,,,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md",WqpDJ37eaN3S,"Fiere silvestre, che per lati campi",595114187870399026635,subject,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kVrAkrexneyx,pastoral,,,,,,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md",WqpDJ37eaN3S,"Fiere silvestre, che per lati campi",595114187870399026635,poetic_type,,,,,,,,,,,,[[eclogue]],,,,,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md",WqpDJ37eaN3S,"Fiere silvestre, che per lati campi",595114187870399026635,metre,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md",WqpDJ37eaN3S,"Fiere silvestre, che per lati campi",595114187870399026635,metre,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable,,,,,,,
