class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value
PoeticWork,"Fera, son'io di quest'ombroso loco",,,"Fera, son'io di quest'ombroso loco","Fera, son'io di quest'ombroso loco.md",Fz4jRTiCHRDq,288557882534724305858,identifier,https://lyra.unil.ch/poems/2524,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Fera, son'io di quest'ombroso loco",,,"Fera, son'io di quest'ombroso loco","Fera, son'io di quest'ombroso loco.md",Fz4jRTiCHRDq,288557882534724305858,identifier,https://versologie.cz/poetree/browser/poem?corpus=it&id_poem=29221,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Fera, son'io di quest'ombroso loco",,,"Fera, son'io di quest'ombroso loco","Fera, son'io di quest'ombroso loco.md",Fz4jRTiCHRDq,288557882534724305858,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B8k36QrtTQLU,Progetto Lyra,,,,,,,,,,,,,,,,,,,
PoeticWork,"Fera, son'io di quest'ombroso loco",,,"Fera, son'io di quest'ombroso loco","Fera, son'io di quest'ombroso loco.md",Fz4jRTiCHRDq,288557882534724305858,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,
PoeticWork,"Fera, son'io di quest'ombroso loco",,,"Fera, son'io di quest'ombroso loco","Fera, son'io di quest'ombroso loco.md",Fz4jRTiCHRDq,288557882534724305858,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6S47e6TzBP6e', 'label': 'Chiara Matraini'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq,author,,,,,,,,,,,,,,
PoeticWork,"Fera, son'io di quest'ombroso loco",,,"Fera, son'io di quest'ombroso loco","Fera, son'io di quest'ombroso loco.md",Fz4jRTiCHRDq,288557882534724305858,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PuMYwZifTJAV,59.0,Rime di diversi signori napoletani Libro settimo,,,,,,,,,,,
PoeticWork,"Fera, son'io di quest'ombroso loco",,,"Fera, son'io di quest'ombroso loco","Fera, son'io di quest'ombroso loco.md",Fz4jRTiCHRDq,288557882534724305858,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Fera, son'io di quest'ombroso loco",,,"Fera, son'io di quest'ombroso loco","Fera, son'io di quest'ombroso loco.md",Fz4jRTiCHRDq,288557882534724305858,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Fera, son'io di quest'ombroso loco",,,"Fera, son'io di quest'ombroso loco","Fera, son'io di quest'ombroso loco.md",Fz4jRTiCHRDq,288557882534724305858,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Z5e4Z6WMSNSn,despair,,,,,,,
PoeticWork,"Fera, son'io di quest'ombroso loco",,,"Fera, son'io di quest'ombroso loco","Fera, son'io di quest'ombroso loco.md",Fz4jRTiCHRDq,288557882534724305858,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HfQkYfWDVNZC,departure,,,,,,,
PoeticWork,"Fera, son'io di quest'ombroso loco",,,"Fera, son'io di quest'ombroso loco","Fera, son'io di quest'ombroso loco.md",Fz4jRTiCHRDq,288557882534724305858,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MVesHQPbVg5X,metaphor,,,,,,,
PoeticWork,"Fera, son'io di quest'ombroso loco",,,"Fera, son'io di quest'ombroso loco","Fera, son'io di quest'ombroso loco.md",Fz4jRTiCHRDq,288557882534724305858,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,
