class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_volume,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value,identifier_value
PoeticWork,Già l'alma ti donai,Già l'alma ti donai.md,Già l'alma ti donai,Mw3CzwMKXRzC,411277441592143335562,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Già l'alma ti donai,Già l'alma ti donai.md,Già l'alma ti donai,Mw3CzwMKXRzC,411277441592143335562,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ke7Y8iiuR8Rg,Isabella Andreini,,,,,,,,,,,,,,,,,,,
PoeticWork,Già l'alma ti donai,Già l'alma ti donai.md,Già l'alma ti donai,Mw3CzwMKXRzC,411277441592143335562,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BwRaqPWUAJzz,"Fede Rotta. Alla Illustre Signora Lucietta da l""oca Spinelli. Isabella Andreini",179.0,5.0,Il Gareggiamento poetico del Confuso Accademico Ordito,,,,,,,,,,,,,,
PoeticWork,Già l'alma ti donai,Già l'alma ti donai.md,Già l'alma ti donai,Mw3CzwMKXRzC,411277441592143335562,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Già l'alma ti donai,Già l'alma ti donai.md,Già l'alma ti donai,Mw3CzwMKXRzC,411277441592143335562,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Già l'alma ti donai,Già l'alma ti donai.md,Già l'alma ti donai,Mw3CzwMKXRzC,411277441592143335562,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6UgHPJzzmPCX,departure,,,,,,,,,,
PoeticWork,Già l'alma ti donai,Già l'alma ti donai.md,Già l'alma ti donai,Mw3CzwMKXRzC,411277441592143335562,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,,
PoeticWork,Già l'alma ti donai,Già l'alma ti donai.md,Già l'alma ti donai,Mw3CzwMKXRzC,411277441592143335562,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,,
PoeticWork,Già l'alma ti donai,Già l'alma ti donai.md,Già l'alma ti donai,Mw3CzwMKXRzC,411277441592143335562,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,,
PoeticWork,Già l'alma ti donai,Già l'alma ti donai.md,Già l'alma ti donai,Mw3CzwMKXRzC,411277441592143335562,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ndCJMutbF4oJ,Filli,,,,
PoeticWork,Già l'alma ti donai,Già l'alma ti donai.md,Già l'alma ti donai,Mw3CzwMKXRzC,411277441592143335562,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ACTN7uuqiNiD,torment,,,,
PoeticWork,Già l'alma ti donai,Già l'alma ti donai.md,Già l'alma ti donai,Mw3CzwMKXRzC,411277441592143335562,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,,
PoeticWork,Già l'alma ti donai,Già l'alma ti donai.md,Già l'alma ti donai,Mw3CzwMKXRzC,411277441592143335562,text,,,,,,,,,,,,,,,,,,,,,,,"Già l'alma ti donai
Vivendo sol de la tua vista lieta;
Ma poi che rio pianeta
Mi costrinse a partire,
Per non vedermi inanzi a te morire
Pietoso mi dicesti
Vivi oh mia Filli, e l'alma mi rendesti.
Hor perché di te priva
Questa vita m'è schiva,
E sol morir desio
La dolent'alma a te di novo invio.",
PoeticWork,Già l'alma ti donai,Già l'alma ti donai.md,Già l'alma ti donai,Mw3CzwMKXRzC,411277441592143335562,identifier,,,,,,,,,,,,,,,,,,,,,,,,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/078890000101_PPPP00011000C
PoeticWork,Già l'alma ti donai,Già l'alma ti donai.md,Già l'alma ti donai,Mw3CzwMKXRzC,411277441592143335562,identifier,,,,,,,,,,,,,,,,,,,,,,,,https://lyra.unil.ch/poems/20881
