class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,SY5NU7EhYrpD,506143931352197120654,identifier,,,,,,,,,,,,,,,,,,,,
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,SY5NU7EhYrpD,506143931352197120654,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx,(Cox 2020),,,,,,,,,,,,,,,,,
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,SY5NU7EhYrpD,506143931352197120654,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,SY5NU7EhYrpD,506143931352197120654,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,,
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,SY5NU7EhYrpD,506143931352197120654,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ReXg6kyDseAt,Palermo,,,,,,,,,,,
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,SY5NU7EhYrpD,506143931352197120654,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kXepx96AePiK,1571.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx', 'label': '(Cox 2020)'}]",Accademia dei Riaccesi di Palermo,,,,,,,
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,SY5NU7EhYrpD,506143931352197120654,occupation,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,SY5NU7EhYrpD,506143931352197120654,related_to,,,,,,,,,,,,,,,,,,,,
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,SY5NU7EhYrpD,506143931352197120654,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,SY5NU7EhYrpD,506143931352197120654,interested_in,,,,,,,,,,,,,,,,,,,,
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,SY5NU7EhYrpD,506143931352197120654,catalog_identifier,,,,,,,,,,,,,,,,,,,,
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,SY5NU7EhYrpD,506143931352197120654,present_in_work,,,,,,,,,,,,,,,,,,,,
