class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_volume,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,language_value,language_label,text_value
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",iyovSwfN985n,845639487813729756050,identifier,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",iyovSwfN985n,845639487813729756050,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ipSJVTEhEkc6,(Di Maro 2021),,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",iyovSwfN985n,845639487813729756050,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",iyovSwfN985n,845639487813729756050,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kFghMqXMQGVb,Dianora Sanseverino,,,,,,,,,,,,,,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",iyovSwfN985n,845639487813729756050,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WsQJYjxufGKj,Laura Terracina,,,,,,,,,,,,,,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",iyovSwfN985n,845639487813729756050,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3h5YPRvaDuan,All'Illustrissima Donna Eleonora Sanseverina Marchesa della Valle Ciciliana,,56.0,Le seste rime della signora Laura Terracina di Napoli,,,,,,,,,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",iyovSwfN985n,845639487813729756050,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",iyovSwfN985n,845639487813729756050,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",iyovSwfN985n,845639487813729756050,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",iyovSwfN985n,845639487813729756050,poetic_type,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",iyovSwfN985n,845639487813729756050,metre,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",iyovSwfN985n,845639487813729756050,depicts,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",iyovSwfN985n,845639487813729756050,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",iyovSwfN985n,845639487813729756050,text,,,,,,,,,,,,,,,,,,,,,,,,,"I vivi cieli, & la virtù eccellente
de la macchina bella, e del del moto,
che sempre stando in un medesimo voto
porgono al mondo, il ben partitamente,

Non gode un sol le gratie giustamente,
come si vede, e come a tutti è noto;
perché saria colui tanto devoto,
che ciaschedun lo segueria sovente.

Ma la natura va scuotendo, e sbriglia
hor questo, hor quello col tesor vitale,
come colei che tien di noi la briglia;

Sì che se n'ho ancora io parte cotale,
non vi fate di ciò gran meraviglia.
che Dio non è del suo mai partiale."
