class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_role,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Eugenio Visdomini,,,Eugenio Visdomini,Eugenio Visdomini.md,AkCFpvdrDZzo,180357653994396133533,identifier,http://www.wikidata.org/entity/Q17354962,,,,,,,,,,,,,,,,
Agent,Eugenio Visdomini,,,Eugenio Visdomini,Eugenio Visdomini.md,AkCFpvdrDZzo,180357653994396133533,described_by_source,,,,,,,,,,,,,,,,,
Agent,Eugenio Visdomini,,,Eugenio Visdomini,Eugenio Visdomini.md,AkCFpvdrDZzo,180357653994396133533,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Eugenio Visdomini,,,Eugenio Visdomini,Eugenio Visdomini.md,AkCFpvdrDZzo,180357653994396133533,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Eugenio Visdomini,,,Eugenio Visdomini,Eugenio Visdomini.md,AkCFpvdrDZzo,180357653994396133533,work_location,,,,,,,,,,,,,,,,,
Agent,Eugenio Visdomini,,,Eugenio Visdomini,Eugenio Visdomini.md,AkCFpvdrDZzo,180357653994396133533,member_of,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QJd3XfmEAuxc', 'label': 'founder'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ixoXEAX9M2DD,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/25S6pggBXEvH', 'label': '(Tostini 2017)'}]",Accademia degli Innominati di Parma,,,,,,
Agent,Eugenio Visdomini,,,Eugenio Visdomini,Eugenio Visdomini.md,AkCFpvdrDZzo,180357653994396133533,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,
Agent,Eugenio Visdomini,,,Eugenio Visdomini,Eugenio Visdomini.md,AkCFpvdrDZzo,180357653994396133533,related_to,,,,,,,,,,,,,,,,,
Agent,Eugenio Visdomini,,,Eugenio Visdomini,Eugenio Visdomini.md,AkCFpvdrDZzo,180357653994396133533,notable_work,,,,,,,,,,,,,,,,,
Agent,Eugenio Visdomini,,,Eugenio Visdomini,Eugenio Visdomini.md,AkCFpvdrDZzo,180357653994396133533,interested_in,,,,,,,,,,,,,,,,,
Agent,Eugenio Visdomini,,,Eugenio Visdomini,Eugenio Visdomini.md,AkCFpvdrDZzo,180357653994396133533,catalog_identifier,,,,,,,,,,,,,,,,,
