class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value,present_in_work_label
Agent,Calidora,,,Calidora,Calidora.md,YP649PCWPBCK,626705339868838764308,identifier,,,,,,,,,,,,,,,,,,
Agent,Calidora,,,Calidora,Calidora.md,YP649PCWPBCK,626705339868838764308,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PdqQDrJWGC9w,(Ray 2015),,,,,,,,,,,,,,,
Agent,Calidora,,,Calidora,Calidora.md,YP649PCWPBCK,626705339868838764308,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BGQNJxxjkLkV,literary character,,,,,,,,,,,,,
Agent,Calidora,,,Calidora,Calidora.md,YP649PCWPBCK,626705339868838764308,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,
Agent,Calidora,,,Calidora,Calidora.md,YP649PCWPBCK,626705339868838764308,work_location,,,,,,,,,,,,,,,,,,
Agent,Calidora,,,Calidora,Calidora.md,YP649PCWPBCK,626705339868838764308,member_of,,,,,,,,,,,,,,,,,,
Agent,Calidora,,,Calidora,Calidora.md,YP649PCWPBCK,626705339868838764308,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TVXGERrivJBn,magician,,,,,,,
Agent,Calidora,,,Calidora,Calidora.md,YP649PCWPBCK,626705339868838764308,related_to,,,,,,,,,,,,,,,,,,
Agent,Calidora,,,Calidora,Calidora.md,YP649PCWPBCK,626705339868838764308,notable_work,,,,,,,,,,,,,,,,,,
Agent,Calidora,,,Calidora,Calidora.md,YP649PCWPBCK,626705339868838764308,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WziXzP4KdMYo,alchemy,,,
Agent,Calidora,,,Calidora,Calidora.md,YP649PCWPBCK,626705339868838764308,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Calidora,,,Calidora,Calidora.md,YP649PCWPBCK,626705339868838764308,present_in_work,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LZGUG764AwQF,La Scanderbeide poema heroico della signora Margherita Sarrocchi
