class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_reference,member_value,member_pseudonym,member_label,interested_in_value,notable_work_value
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,5VB64Nf9sroY,71740213120761034305,identifier,,,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,5VB64Nf9sroY,71740213120761034305,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/moMvn2zeurCU,(Occhipinti 2017),,,,,,,,,,,,,,,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,5VB64Nf9sroY,71740213120761034305,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,5VB64Nf9sroY,71740213120761034305,inception,,,,,,1562-04-21,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/moMvn2zeurCU', 'label': '(Occhipinti 2017)'}]",,,,,,,,,,,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,5VB64Nf9sroY,71740213120761034305,dissolved,,,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,5VB64Nf9sroY,71740213120761034305,location,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG,Roma,,,,,,,,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,5VB64Nf9sroY,71740213120761034305,official_website,,,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,5VB64Nf9sroY,71740213120761034305,catalog_identifier,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",130.0,,,,,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,5VB64Nf9sroY,71740213120761034305,member,,,,,,,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/moMvn2zeurCU', 'label': '(Occhipinti 2017)'}]",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GLtVpsfGgfog,Obbediente,Agostino Valier,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,5VB64Nf9sroY,71740213120761034305,member,,,,,,,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/moMvn2zeurCU', 'label': '(Occhipinti 2017)'}]",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/M3LQemJfY4di,Nestore,Sperone Speroni,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,5VB64Nf9sroY,71740213120761034305,member,,,,,,,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/moMvn2zeurCU', 'label': '(Occhipinti 2017)'}]",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eD2HQtUhZbtT,Risoluto,Silvio Antoniano,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,5VB64Nf9sroY,71740213120761034305,member,,,,,,,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/moMvn2zeurCU', 'label': '(Occhipinti 2017)'}]",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JrrHnpp4fyTC,Sollecito,Giovanni Battista Amalteo,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,5VB64Nf9sroY,71740213120761034305,interested_in,,,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,5VB64Nf9sroY,71740213120761034305,notable_work,,,,,,,,,,,,,,,,,,,
