class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,derivative_work_value,text_value,language_value,subject_value,poetic_type_value,depicts_value,metre_value
MusicComposition,In un boschetto adorno (Sabino),,,In un boschetto adorno (Sabino),In un boschetto adorno (Sabino).md,kHjit2WujR25,872403260348374306158,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F125650001010101_000000216200,,,,,,,,,,,,,,,,,,
MusicComposition,In un boschetto adorno (Sabino),,,In un boschetto adorno (Sabino),In un boschetto adorno (Sabino).md,kHjit2WujR25,872403260348374306158,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,
MusicComposition,In un boschetto adorno (Sabino),,,In un boschetto adorno (Sabino),In un boschetto adorno (Sabino).md,kHjit2WujR25,872403260348374306158,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,,,,,,
MusicComposition,In un boschetto adorno (Sabino),,,In un boschetto adorno (Sabino),In un boschetto adorno (Sabino).md,kHjit2WujR25,872403260348374306158,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jjdWLDnqqpF4,Francesco Maria Caccianemici,,,,,,,,,,,
MusicComposition,In un boschetto adorno (Sabino),,,In un boschetto adorno (Sabino),In un boschetto adorno (Sabino).md,kHjit2WujR25,872403260348374306158,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QuMFfPS8j7uf,Ippolito Sabino,,,,,,,,,,,
MusicComposition,In un boschetto adorno (Sabino),,,In un boschetto adorno (Sabino),In un boschetto adorno (Sabino).md,kHjit2WujR25,872403260348374306158,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3aoiPYjuYhze,Di Ippolito Sabino il Sesto libro de Madrigali a cinque & a sei voci,,,,,,,,,
MusicComposition,In un boschetto adorno (Sabino),,,In un boschetto adorno (Sabino),In un boschetto adorno (Sabino).md,kHjit2WujR25,872403260348374306158,instrumentation,,,,,,,,,,,,,,,,,,,
MusicComposition,In un boschetto adorno (Sabino),,,In un boschetto adorno (Sabino),In un boschetto adorno (Sabino).md,kHjit2WujR25,872403260348374306158,based_on,,,,,,,,,,,,,,,,,,,
MusicComposition,In un boschetto adorno (Sabino),,,In un boschetto adorno (Sabino),In un boschetto adorno (Sabino).md,kHjit2WujR25,872403260348374306158,derivative_work,,,,,,,,,,,,,,,,,,,
MusicComposition,In un boschetto adorno (Sabino),,,In un boschetto adorno (Sabino),In un boschetto adorno (Sabino).md,kHjit2WujR25,872403260348374306158,text,,,,,,,,,,,,,,,,,,,
MusicComposition,In un boschetto adorno (Sabino),,,In un boschetto adorno (Sabino),In un boschetto adorno (Sabino).md,kHjit2WujR25,872403260348374306158,language,,,,,,,,,,,,,,,,,,,
MusicComposition,In un boschetto adorno (Sabino),,,In un boschetto adorno (Sabino),In un boschetto adorno (Sabino).md,kHjit2WujR25,872403260348374306158,subject,,,,,,,,,,,,,,,,,,,
MusicComposition,In un boschetto adorno (Sabino),,,In un boschetto adorno (Sabino),In un boschetto adorno (Sabino).md,kHjit2WujR25,872403260348374306158,poetic_type,,,,,,,,,,,,,,,,,,,
MusicComposition,In un boschetto adorno (Sabino),,,In un boschetto adorno (Sabino),In un boschetto adorno (Sabino).md,kHjit2WujR25,872403260348374306158,depicts,,,,,,,,,,,,,,,,,,,
MusicComposition,In un boschetto adorno (Sabino),,,In un boschetto adorno (Sabino),In un boschetto adorno (Sabino).md,kHjit2WujR25,872403260348374306158,metre,,,,,,,,,,,,,,,,,,,
