class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_publication_date,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,Madrigali del conte Marc'Antonio Ferretti,,,Madrigali del conte Marc'Antonio Ferretti,Madrigali del conte Marc'Antonio Ferretti.md,CS7Afbxy7wFd,215080521124490275628,identifier,http://id.sbn.it/bid/ANAE040380,,,,,,,,,,,,,,,
Book,Madrigali del conte Marc'Antonio Ferretti,,,Madrigali del conte Marc'Antonio Ferretti,Madrigali del conte Marc'Antonio Ferretti.md,CS7Afbxy7wFd,215080521124490275628,described_by_source,,,,,,,,,,,,,,,,
Book,Madrigali del conte Marc'Antonio Ferretti,,,Madrigali del conte Marc'Antonio Ferretti,Madrigali del conte Marc'Antonio Ferretti.md,CS7Afbxy7wFd,215080521124490275628,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,
Book,Madrigali del conte Marc'Antonio Ferretti,,,Madrigali del conte Marc'Antonio Ferretti,Madrigali del conte Marc'Antonio Ferretti.md,CS7Afbxy7wFd,215080521124490275628,title,,,,,"Madrigali del conte Marc'Antonio Ferretti, ne' quali si contengono lodi, & honesti amori, lagrime, e morti, pitture, e scolture, e diuotioni",,,,,,,,,,,
Book,Madrigali del conte Marc'Antonio Ferretti,,,Madrigali del conte Marc'Antonio Ferretti,Madrigali del conte Marc'Antonio Ferretti.md,CS7Afbxy7wFd,215080521124490275628,inception,,,,,,,,,,,,,,,,
Book,Madrigali del conte Marc'Antonio Ferretti,,,Madrigali del conte Marc'Antonio Ferretti,Madrigali del conte Marc'Antonio Ferretti.md,CS7Afbxy7wFd,215080521124490275628,has_version,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",1627.0,http://id.sbn.it/bid/ANAE040380,,,,,,,
Book,Madrigali del conte Marc'Antonio Ferretti,,,Madrigali del conte Marc'Antonio Ferretti,Madrigali del conte Marc'Antonio Ferretti.md,CS7Afbxy7wFd,215080521124490275628,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8UgY9HLGPodB,Marco Antonio Ferretti,,,,
Book,Madrigali del conte Marc'Antonio Ferretti,,,Madrigali del conte Marc'Antonio Ferretti,Madrigali del conte Marc'Antonio Ferretti.md,CS7Afbxy7wFd,215080521124490275628,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eihJDhFoMudj,visual arts,,
Book,Madrigali del conte Marc'Antonio Ferretti,,,Madrigali del conte Marc'Antonio Ferretti,Madrigali del conte Marc'Antonio Ferretti.md,CS7Afbxy7wFd,215080521124490275628,has_part,,,,,,,,,,,,,,,,
Book,Madrigali del conte Marc'Antonio Ferretti,,,Madrigali del conte Marc'Antonio Ferretti,Madrigali del conte Marc'Antonio Ferretti.md,CS7Afbxy7wFd,215080521124490275628,based_on,,,,,,,,,,,,,,,,
