class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,subclass_of_value
Concept,ottava rima,,,ottava rima,ottava rima.md,QKnFCoKHDFvG,460425298289492377457,identifier,http://www.wikidata.org/entity/Q1402779,,,,
Concept,ottava rima,,,ottava rima,ottava rima.md,QKnFCoKHDFvG,460425298289492377457,described_by_source,,,,,
Concept,ottava rima,,,ottava rima,ottava rima.md,QKnFCoKHDFvG,460425298289492377457,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nm2JMnbqZ4yL,poetic form,
Concept,ottava rima,,,ottava rima,ottava rima.md,QKnFCoKHDFvG,460425298289492377457,subclass_of,,,,,
