class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,6i2dMd6jYqCG,97028871197219072495,identifier,http://www.wikidata.org/entity/Q29300,,,,,,,,,,,,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,6i2dMd6jYqCG,97028871197219072495,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,6i2dMd6jYqCG,97028871197219072495,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,6i2dMd6jYqCG,97028871197219072495,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,6i2dMd6jYqCG,97028871197219072495,work_location,,,,,,,,,,,,,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,6i2dMd6jYqCG,97028871197219072495,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2uSronTLfPLh,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Accademia Veniera,,,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,6i2dMd6jYqCG,97028871197219072495,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SoT8HEa6ZEYG,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/g9JEkvm2QvzR', 'label': '(Artese 1983)'}]",Compagnia dei Pastori Fratteggianti,,,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,6i2dMd6jYqCG,97028871197219072495,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,6i2dMd6jYqCG,97028871197219072495,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,6i2dMd6jYqCG,97028871197219072495,related_to,,,,,,,,,,,,,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,6i2dMd6jYqCG,97028871197219072495,notable_work,,,,,,,,,,,,,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,6i2dMd6jYqCG,97028871197219072495,interested_in,,,,,,,,,,,,,,,,,,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,6i2dMd6jYqCG,97028871197219072495,catalog_identifier,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",20353.0,
Agent,Girolamo Parabosco,,,Girolamo Parabosco,Girolamo Parabosco.md,6i2dMd6jYqCG,97028871197219072495,present_in_work,,,,,,,,,,,,,,,,,,
