class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value
Agent,Vittoria Colonna,,,Vittoria Colonna,Vittoria Colonna.md,YJP9QUN4Mbfw,625003734711268204886,identifier,http://www.wikidata.org/entity/Q255368,,,,,,,,,,,,,,,,,
Agent,Vittoria Colonna,,,Vittoria Colonna,Vittoria Colonna.md,YJP9QUN4Mbfw,625003734711268204886,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Vittoria Colonna,,,Vittoria Colonna,Vittoria Colonna.md,YJP9QUN4Mbfw,625003734711268204886,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Vittoria Colonna,,,Vittoria Colonna,Vittoria Colonna.md,YJP9QUN4Mbfw,625003734711268204886,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,
Agent,Vittoria Colonna,,,Vittoria Colonna,Vittoria Colonna.md,YJP9QUN4Mbfw,625003734711268204886,work_location,,,,,,,,,,,,,,,,,,
Agent,Vittoria Colonna,,,Vittoria Colonna,Vittoria Colonna.md,YJP9QUN4Mbfw,625003734711268204886,member_of,,,,,,,,,,,,,,,,,,
Agent,Vittoria Colonna,,,Vittoria Colonna,Vittoria Colonna.md,YJP9QUN4Mbfw,625003734711268204886,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,,
Agent,Vittoria Colonna,,,Vittoria Colonna,Vittoria Colonna.md,YJP9QUN4Mbfw,625003734711268204886,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cZCQX49qGcQ2,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jpj9Gp4R6veD', 'label': 'friend'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5ZmX4c5h8CRb', 'label': '(Moroncini 2017)'}]",Luca Contile,,,,
Agent,Vittoria Colonna,,,Vittoria Colonna,Vittoria Colonna.md,YJP9QUN4Mbfw,625003734711268204886,notable_work,,,,,,,,,,,,,,,,,,
Agent,Vittoria Colonna,,,Vittoria Colonna,Vittoria Colonna.md,YJP9QUN4Mbfw,625003734711268204886,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dkw9yTeHkpNT,heterodoxy,
Agent,Vittoria Colonna,,,Vittoria Colonna,Vittoria Colonna.md,YJP9QUN4Mbfw,625003734711268204886,catalog_identifier,,,,,,,,,,,,,,,,,,
