class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_publication_date,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value
Book,"Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi",,,"Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi","Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi.md",hehxLitmttmS,818087056542422060670,identifier,https://edit16.iccu.sbn.it/titolo/CNCE061404,,,,,,,,,,,,,,
Book,"Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi",,,"Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi","Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi.md",hehxLitmttmS,818087056542422060670,described_by_source,,,,,,,,,,,,,,,
Book,"Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi",,,"Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi","Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi.md",hehxLitmttmS,818087056542422060670,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,
Book,"Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi",,,"Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi","Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi.md",hehxLitmttmS,818087056542422060670,title,,,,,"Componimenti latini, e toscani da diuersi suoi amici composti. Nella morte di M. Benedetto Varchi",,,,,,,,,,
Book,"Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi",,,"Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi","Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi.md",hehxLitmttmS,818087056542422060670,inception,,,,,,1566.0,,,,,,,,,
Book,"Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi",,,"Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi","Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi.md",hehxLitmttmS,818087056542422060670,has_version,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvYVBMCkzMzW', 'label': 'Firenze'}]",1566.0,http://id.sbn.it/bid/NAPE010160,,,,,,
Book,"Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi",,,"Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi","Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi.md",hehxLitmttmS,818087056542422060670,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hybEFcuqMtfz,Benedetto Varchi,,,
Book,"Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi",,,"Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi","Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi.md",hehxLitmttmS,818087056542422060670,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJzQoB8QSGjd', 'label': 'editor'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8y7U3szA2ZVK,Pietro Stufa,,,
Book,"Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi",,,"Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi","Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi.md",hehxLitmttmS,818087056542422060670,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VvwqSP8dg3vT,elegy,
Book,"Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi",,,"Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi","Componimenti latini, e toscani da diversi suoi amici composti. Nella morte di M. Benedetto Varchi.md",hehxLitmttmS,818087056542422060670,has_part,,,,,,,,,,,,,,,
