class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_publisher,has_version_publication_date,has_version_external_source,has_version_holding_institution,has_version_IIIF_manifest,has_version_place_of_publication,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,hQ443u9PJfb4,812777758611398754617,identifier,https://edit16.iccu.sbn.it/titolo/CNCE026043,,,,,,,,,,,,,,,,,,
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,hQ443u9PJfb4,812777758611398754617,identifier,https://lyra.unil.ch/books/1,,,,,,,,,,,,,,,,,,
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,hQ443u9PJfb4,812777758611398754617,described_by_source,,,,,,,,,,,,,,,,,,,
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,hQ443u9PJfb4,812777758611398754617,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,hQ443u9PJfb4,812777758611398754617,title,,,,,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,,,,,,,,,,,,
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,hQ443u9PJfb4,812777758611398754617,inception,,,,,,1545.0,,,,,,,,,,,,,
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,hQ443u9PJfb4,812777758611398754617,has_version,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dt83qSxSrD7X', 'label': ""Gabriele Giolito de' Ferrari""}",1545.0,https://viewer.onb.ac.at/10AA1E34/,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UwTkUJm3SQTb', 'label': 'Austrian National Library'}",https://api.onb.ac.at/iiif/presentation/v3/manifest/10AA1E34,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",https://edit16.iccu.sbn.it/titolo/CNCE026043,,,,,,
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,hQ443u9PJfb4,812777758611398754617,has_version,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dt83qSxSrD7X', 'label': ""Gabriele Giolito de' Ferrari""}",1545.0,https://books.google.be/books?id=x8kTAAAAQAAJ,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",https://edit16.iccu.sbn.it/titolo/CNCE026043,,,,,,
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,hQ443u9PJfb4,812777758611398754617,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jZuvVuSH7U3b,Veronica Gambara,,,
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,hQ443u9PJfb4,812777758611398754617,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJzQoB8QSGjd', 'label': 'editor'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/X6tpZpZf34Lu,Lodovico Domenichi,,,
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,hQ443u9PJfb4,812777758611398754617,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3u7RPwEQyMmB,Francesco Sansovino,,,
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,hQ443u9PJfb4,812777758611398754617,subject,,,,,,,,,,,,,,,,,,,
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,hQ443u9PJfb4,812777758611398754617,has_part,,,,,,,,,,,,,,,,,,,
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,hQ443u9PJfb4,812777758611398754617,based_on,,,,,,,,,,,,,,,,,,,
