class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,identifier_value
Concept,"['sea vessel', 'water vehicle', 'boat', 'ship']",watercraft,watercraft.md,watercraft,XF9vnVnjvEzN,603197871725449028285,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nPiNkmzNYMpM,artificial object,,
Concept,"['sea vessel', 'water vehicle', 'boat', 'ship']",watercraft,watercraft.md,watercraft,XF9vnVnjvEzN,603197871725449028285,subclass_of,,,,
Concept,"['sea vessel', 'water vehicle', 'boat', 'ship']",watercraft,watercraft.md,watercraft,XF9vnVnjvEzN,603197871725449028285,identifier,,,,http://www.wikidata.org/entity/Q1229765
