class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,identifier_value
Concept,octosyllable,octosyllable.md,octosyllable,AorWgPRatr2C,181686764270676345031,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WcnKmourVy6G,metrical pattern,,
Concept,octosyllable,octosyllable.md,octosyllable,AorWgPRatr2C,181686764270676345031,subclass_of,,,,
Concept,octosyllable,octosyllable.md,octosyllable,AorWgPRatr2C,181686764270676345031,identifier,,,,http://www.wikidata.org/entity/Q591099
