class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"E chi mi impenna, e chi mi scald'il core",,,"E chi mi impenna, e chi mi scald'il core","E chi mi impenna, e chi mi scald'il core.md",QY4ES3ZqAWaL,464864884635430919895,identifier,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"E chi mi impenna, e chi mi scald'il core",,,"E chi mi impenna, e chi mi scald'il core","E chi mi impenna, e chi mi scald'il core.md",QY4ES3ZqAWaL,464864884635430919895,described_by_source,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"E chi mi impenna, e chi mi scald'il core",,,"E chi mi impenna, e chi mi scald'il core","E chi mi impenna, e chi mi scald'il core.md",QY4ES3ZqAWaL,464864884635430919895,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,
PoeticWork,"E chi mi impenna, e chi mi scald'il core",,,"E chi mi impenna, e chi mi scald'il core","E chi mi impenna, e chi mi scald'il core.md",QY4ES3ZqAWaL,464864884635430919895,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2brEqdcLsYfo,Giordano Bruno,,,,,,,,,,,,,,,
PoeticWork,"E chi mi impenna, e chi mi scald'il core",,,"E chi mi impenna, e chi mi scald'il core","E chi mi impenna, e chi mi scald'il core.md",QY4ES3ZqAWaL,464864884635430919895,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EZyWiRFbTrfU,De l'infinito universo et mondi,,,,,,,,,,,,,
PoeticWork,"E chi mi impenna, e chi mi scald'il core",,,"E chi mi impenna, e chi mi scald'il core","E chi mi impenna, e chi mi scald'il core.md",QY4ES3ZqAWaL,464864884635430919895,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"E chi mi impenna, e chi mi scald'il core",,,"E chi mi impenna, e chi mi scald'il core","E chi mi impenna, e chi mi scald'il core.md",QY4ES3ZqAWaL,464864884635430919895,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"E chi mi impenna, e chi mi scald'il core",,,"E chi mi impenna, e chi mi scald'il core","E chi mi impenna, e chi mi scald'il core.md",QY4ES3ZqAWaL,464864884635430919895,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f2FEyateEsYj,astronomy,,,,,,,,,
PoeticWork,"E chi mi impenna, e chi mi scald'il core",,,"E chi mi impenna, e chi mi scald'il core","E chi mi impenna, e chi mi scald'il core.md",QY4ES3ZqAWaL,464864884635430919895,poetic_type,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,"E chi mi impenna, e chi mi scald'il core",,,"E chi mi impenna, e chi mi scald'il core","E chi mi impenna, e chi mi scald'il core.md",QY4ES3ZqAWaL,464864884635430919895,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"E chi mi impenna, e chi mi scald'il core",,,"E chi mi impenna, e chi mi scald'il core","E chi mi impenna, e chi mi scald'il core.md",QY4ES3ZqAWaL,464864884635430919895,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GMAwvtJt3st5,chain,,,
