class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Ricciardo Amadino,Ricciardo Amadino.md,Ricciardo Amadino,9L5vRtvRmtKu,150992794628563234701,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Ricciardo Amadino,Ricciardo Amadino.md,Ricciardo Amadino,9L5vRtvRmtKu,150992794628563234701,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,Ricciardo Amadino,Ricciardo Amadino.md,Ricciardo Amadino,9L5vRtvRmtKu,150992794628563234701,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq,Venezia,,,,,,,,,
Agent,Ricciardo Amadino,Ricciardo Amadino.md,Ricciardo Amadino,9L5vRtvRmtKu,150992794628563234701,member_of,,,,,,,,,,,,,,,
Agent,Ricciardo Amadino,Ricciardo Amadino.md,Ricciardo Amadino,9L5vRtvRmtKu,150992794628563234701,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2hYMECrC2z35,publisher,,,,,,
Agent,Ricciardo Amadino,Ricciardo Amadino.md,Ricciardo Amadino,9L5vRtvRmtKu,150992794628563234701,related_to,,,,,,,,,,,,,,,
Agent,Ricciardo Amadino,Ricciardo Amadino.md,Ricciardo Amadino,9L5vRtvRmtKu,150992794628563234701,notable_work,,,,,,,,,,,,,,,
Agent,Ricciardo Amadino,Ricciardo Amadino.md,Ricciardo Amadino,9L5vRtvRmtKu,150992794628563234701,interested_in,,,,,,,,,,,,,,,
Agent,Ricciardo Amadino,Ricciardo Amadino.md,Ricciardo Amadino,9L5vRtvRmtKu,150992794628563234701,catalog_identifier,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",7340.0,
Agent,Ricciardo Amadino,Ricciardo Amadino.md,Ricciardo Amadino,9L5vRtvRmtKu,150992794628563234701,present_in_work,,,,,,,,,,,,,,,
