class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publisher,has_version_place_of_publication,has_version_publication_date,has_version_external_source,has_version_IIIF_manifest,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,XFzV5zn8KYUy,603506228475758911378,identifier,https://edit16.iccu.sbn.it/titolo/CNCE034685,,,,,,,,,,,,,,,,,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,XFzV5zn8KYUy,603506228475758911378,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVSttRUbFw6e,(Faini 2020),,,,,,,,,,,,,,,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,XFzV5zn8KYUy,603506228475758911378,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,XFzV5zn8KYUy,603506228475758911378,title,,,,,,"Del tempio alla diuina signora donna Giouanna d'Aragona, fabricato da tutti i più gentili spiriti, & in tutte le lingue principali del mondo. Prima parte",,,,,,,,,,,,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,XFzV5zn8KYUy,603506228475758911378,inception,,,,,,,,,,,,,,,,,,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,XFzV5zn8KYUy,603506228475758911378,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE034685,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cA2VQsNtDVwP', 'label': 'Plinio Pietrasanta'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",1554.0,https://books.google.be/books?id=pieUY6J0_SgC,https://public-api.prod.os01.ocp.cineca.it/api/v1/apipublic/resource/3A7DA31E88C94EF0B9E85611EC20825D/manifest/11DA2E15D10E4BD893F78A959D3DF8E1,Google Books provides a reprint from 1555,,,,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,XFzV5zn8KYUy,603506228475758911378,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HaPPdnBeKQGv,Giovanni Battista Giraldi,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,XFzV5zn8KYUy,603506228475758911378,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dGUWfMNNCYuo,Gaspara Stampa,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,XFzV5zn8KYUy,603506228475758911378,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/66jWzPXuDjG8,Girolamo Muzio,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,XFzV5zn8KYUy,603506228475758911378,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dGUWfMNNCYuo,Gaspara Stampa,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,XFzV5zn8KYUy,603506228475758911378,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jAAB8FezF2Df,Fausta Tacita,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,XFzV5zn8KYUy,603506228475758911378,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",,,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,XFzV5zn8KYUy,603506228475758911378,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TdyZG6fXKCLc,Benedetto Varchi,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,XFzV5zn8KYUy,603506228475758911378,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4EURnex9Eajh,Annibale Caro,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,XFzV5zn8KYUy,603506228475758911378,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bWqvazmy4YRT,Alessandro Piccolomini,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,XFzV5zn8KYUy,603506228475758911378,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PndEj8FtSonb,Giovanna d'Aragona,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,XFzV5zn8KYUy,603506228475758911378,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Da95B7dvHP7b', 'label': 'Girolamo Ruscelli'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dbNtcx3kn4i7,editor,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,XFzV5zn8KYUy,603506228475758911378,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,XFzV5zn8KYUy,603506228475758911378,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TuhZnsrVW6Mf,academy,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,XFzV5zn8KYUy,603506228475758911378,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Q6FD2rU7f347,salon,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,XFzV5zn8KYUy,603506228475758911378,has_part,,,,,,,,,,,,,,,,,,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,XFzV5zn8KYUy,603506228475758911378,based_on,,,,,,,,,,,,,,,,,,,,,
