class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_pages,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",2t8EFTBZs8ff,18141138771292364179,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/041210000101_PPPP00117901C,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",2t8EFTBZs8ff,18141138771292364179,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",2t8EFTBZs8ff,18141138771292364179,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",2t8EFTBZs8ff,18141138771292364179,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PsKxUAuVhYJe,Bartolomeo Ferrini,,,,,,,,,,,,,,,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",2t8EFTBZs8ff,18141138771292364179,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NWnCiX3cyfCg,76.0,Bartolomeo Ferrino.,Rime scelte de' poeti ferraresi antichi e moderni,,,,,,,,,,,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",2t8EFTBZs8ff,18141138771292364179,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",2t8EFTBZs8ff,18141138771292364179,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",2t8EFTBZs8ff,18141138771292364179,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",2t8EFTBZs8ff,18141138771292364179,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",2t8EFTBZs8ff,18141138771292364179,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",2t8EFTBZs8ff,18141138771292364179,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",2t8EFTBZs8ff,18141138771292364179,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9R22nChmKScL,celestial body,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",2t8EFTBZs8ff,18141138771292364179,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NbBMYT8M5qdr,flame,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",2t8EFTBZs8ff,18141138771292364179,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/n8dKKupcf2zK,flying,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",2t8EFTBZs8ff,18141138771292364179,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",2t8EFTBZs8ff,18141138771292364179,text,,,,,,,,,,,,,,,,,,,,,,,,,"Stella, che fra le stelle,
Quasi un Sol siedi, e con duo vivi Soli
Al Sol la luce, & a me il core involi,
Se Tu fra l'altre belle
Fossi o men bella, o più cortese un poco,
Cenerer è tal, che saria ancora foco."
