class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_publisher,has_version_place_of_publication,has_version_holding_institution,has_version_note,has_version_external_source,has_version_IIIF_manifest,contributor_role,contributor_value,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Il primo libro delle villote di Aluvise Castellino,,,Il primo libro delle villote di Aluvise Castellino,Il primo libro delle villote di Aluvise Castellino.md,ZyPpRK9TKE3U,659763281906906951369,identifier,https://edit16.iccu.sbn.it/titolo/CNCE037029,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro delle villote di Aluvise Castellino,,,Il primo libro delle villote di Aluvise Castellino,Il primo libro delle villote di Aluvise Castellino.md,ZyPpRK9TKE3U,659763281906906951369,identifier,https://rism.online/sources/990009109,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro delle villote di Aluvise Castellino,,,Il primo libro delle villote di Aluvise Castellino,Il primo libro delle villote di Aluvise Castellino.md,ZyPpRK9TKE3U,659763281906906951369,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV04370010,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro delle villote di Aluvise Castellino,,,Il primo libro delle villote di Aluvise Castellino,Il primo libro delle villote di Aluvise Castellino.md,ZyPpRK9TKE3U,659763281906906951369,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro delle villote di Aluvise Castellino,,,Il primo libro delle villote di Aluvise Castellino,Il primo libro delle villote di Aluvise Castellino.md,ZyPpRK9TKE3U,659763281906906951369,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro delle villote di Aluvise Castellino,,,Il primo libro delle villote di Aluvise Castellino,Il primo libro delle villote di Aluvise Castellino.md,ZyPpRK9TKE3U,659763281906906951369,title,,,,,,Il primo libro delle villote di Aluuise Castellino chiamato il Varoter venetiano da lui composti li versi et il canto,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro delle villote di Aluvise Castellino,,,Il primo libro delle villote di Aluvise Castellino,Il primo libro delle villote di Aluvise Castellino.md,ZyPpRK9TKE3U,659763281906906951369,inception,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro delle villote di Aluvise Castellino,,,Il primo libro delle villote di Aluvise Castellino,Il primo libro delle villote di Aluvise Castellino.md,ZyPpRK9TKE3U,659763281906906951369,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE037029,1541.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/btogkstkNfhe', 'label': 'Antonio Gardano'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PQ2eSuRquqQB', 'label': 'Austrian National Library'}",Cantus,https://viewer.onb.ac.at/1322B5D9,https://api.onb.ac.at/iiif/presentation/v3/manifest/1322B5D9,,,,,,,
NotatedMusic,Il primo libro delle villote di Aluvise Castellino,,,Il primo libro delle villote di Aluvise Castellino,Il primo libro delle villote di Aluvise Castellino.md,ZyPpRK9TKE3U,659763281906906951369,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE037029,1541.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/btogkstkNfhe', 'label': 'Antonio Gardano'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PQ2eSuRquqQB', 'label': 'Austrian National Library'}",Altus,https://viewer.onb.ac.at/11784762,https://api.onb.ac.at/iiif/presentation/v3/manifest/11784762,,,,,,,
NotatedMusic,Il primo libro delle villote di Aluvise Castellino,,,Il primo libro delle villote di Aluvise Castellino,Il primo libro delle villote di Aluvise Castellino.md,ZyPpRK9TKE3U,659763281906906951369,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE037029,1541.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/btogkstkNfhe', 'label': 'Antonio Gardano'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PQ2eSuRquqQB', 'label': 'Austrian National Library'}",Tenor,https://viewer.onb.ac.at/11784740,https://api.onb.ac.at/iiif/presentation/v3/manifest/11784740,,,,,,,
