class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,459mRdBEvCRS,42407197636469342115,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F053910000101_PPPP00145801C,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,459mRdBEvCRS,42407197636469342115,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,459mRdBEvCRS,42407197636469342115,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,459mRdBEvCRS,42407197636469342115,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aHnMfL7WCnia,Angelo Grillo,,,,,,,,,,,,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,459mRdBEvCRS,42407197636469342115,part_of,,,,,,,,,136.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dUxL6iZT2qYu,Di Livio Celiano.,Rime di diversi celebri poeti dell'età nostra,,,,,,,,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,459mRdBEvCRS,42407197636469342115,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,459mRdBEvCRS,42407197636469342115,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,459mRdBEvCRS,42407197636469342115,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MVesHQPbVg5X,metaphor,,,,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,459mRdBEvCRS,42407197636469342115,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8sSx8HhcDxv6,anaphora,,,,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,459mRdBEvCRS,42407197636469342115,poetic_type,,,,,,,,,,,,,,,,,[[ode]],,,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,459mRdBEvCRS,42407197636469342115,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,459mRdBEvCRS,42407197636469342115,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable,,,,,
PoeticWork,Chi vuol vedere un bosco,,,Chi vuol vedere un bosco,Chi vuol vedere un bosco.md,459mRdBEvCRS,42407197636469342115,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/E3PKJTAvLpog,forest,,,
