class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value
Agent,Vittoria Colonna,,,Vittoria Colonna,Vittoria Colonna.md,dnKqeJdTP2sv,738299245810606974577,identifier,http://www.wikidata.org/entity/Q255368,,,,,,,,,,,,,,,,,
Agent,Vittoria Colonna,,,Vittoria Colonna,Vittoria Colonna.md,dnKqeJdTP2sv,738299245810606974577,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Vittoria Colonna,,,Vittoria Colonna,Vittoria Colonna.md,dnKqeJdTP2sv,738299245810606974577,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Vittoria Colonna,,,Vittoria Colonna,Vittoria Colonna.md,dnKqeJdTP2sv,738299245810606974577,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,
Agent,Vittoria Colonna,,,Vittoria Colonna,Vittoria Colonna.md,dnKqeJdTP2sv,738299245810606974577,work_location,,,,,,,,,,,,,,,,,,
Agent,Vittoria Colonna,,,Vittoria Colonna,Vittoria Colonna.md,dnKqeJdTP2sv,738299245810606974577,member_of,,,,,,,,,,,,,,,,,,
Agent,Vittoria Colonna,,,Vittoria Colonna,Vittoria Colonna.md,dnKqeJdTP2sv,738299245810606974577,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,,,
Agent,Vittoria Colonna,,,Vittoria Colonna,Vittoria Colonna.md,dnKqeJdTP2sv,738299245810606974577,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QLHvtTaEdNe2,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nEyUNwKcZNxU', 'label': 'friend'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7VwEEvbhjKZB', 'label': '(Moroncini 2017)'}]",Luca Contile,,,,
Agent,Vittoria Colonna,,,Vittoria Colonna,Vittoria Colonna.md,dnKqeJdTP2sv,738299245810606974577,notable_work,,,,,,,,,,,,,,,,,,
Agent,Vittoria Colonna,,,Vittoria Colonna,Vittoria Colonna.md,dnKqeJdTP2sv,738299245810606974577,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrTwYNz6rjM4,heterodoxy,
Agent,Vittoria Colonna,,,Vittoria Colonna,Vittoria Colonna.md,dnKqeJdTP2sv,738299245810606974577,catalog_identifier,,,,,,,,,,,,,,,,,,
