class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_role,member_of_reference,member_of_label,occupation_value,occupation_reference,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,gdhbB82oLsBz,797086764515396948825,identifier,http://www.wikidata.org/entity/Q610738,,,,,,,,,,,,,,,,,,,
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,gdhbB82oLsBz,797086764515396948825,described_by_source,,,,,,,,,,,,,,,,,,,,
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,gdhbB82oLsBz,797086764515396948825,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,gdhbB82oLsBz,797086764515396948825,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,,
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,gdhbB82oLsBz,797086764515396948825,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,Roma,,,,,,,,,,,,
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,gdhbB82oLsBz,797086764515396948825,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Uxki4gLFaARk,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4KydtJBYz8ts', 'label': 'literary host'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EFo7AHHEorLS', 'label': '(Terzaghi 2017)'}]",Accademia degli Ordinati di Roma,,,,,,,,
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,gdhbB82oLsBz,797086764515396948825,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4KydtJBYz8ts,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EFo7AHHEorLS', 'label': '(Terzaghi 2017)'}]",literary host,,,,,
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,gdhbB82oLsBz,797086764515396948825,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Rfdm5oYMwDjo,,cardinal,,,,,
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,gdhbB82oLsBz,797086764515396948825,related_to,,,,,,,,,,,,,,,,,,,,
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,gdhbB82oLsBz,797086764515396948825,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,gdhbB82oLsBz,797086764515396948825,interested_in,,,,,,,,,,,,,,,,,,,,
Agent,Maurizio di Savoia,,['Maurice of Savoy'],Maurizio di Savoia,Maurizio di Savoia.md,gdhbB82oLsBz,797086764515396948825,catalog_identifier,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",18394.0
