class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,inception_value,dissolved_value,location_value,official_website_value,catalog_identifier_value,member_value,interested_in_value,interested_in_label,notable_work_value
Organisation,Treccani Vocabulary,,,Treccani Vocabulary,Treccani Vocabulary.md,ChCc48vFCEJk,220545606215143195974,identifier,http://www.wikidata.org/entity/Q4015908,,,,,,,,,,,
Organisation,Treccani Vocabulary,,,Treccani Vocabulary,Treccani Vocabulary.md,ChCc48vFCEJk,220545606215143195974,described_by_source,,,,,,,,,,,,
Organisation,Treccani Vocabulary,,,Treccani Vocabulary,Treccani Vocabulary.md,ChCc48vFCEJk,220545606215143195974,instance_of,,,[[dictionary]],,,,,,,,,
Organisation,Treccani Vocabulary,,,Treccani Vocabulary,Treccani Vocabulary.md,ChCc48vFCEJk,220545606215143195974,inception,,,,,,,,,,,,
Organisation,Treccani Vocabulary,,,Treccani Vocabulary,Treccani Vocabulary.md,ChCc48vFCEJk,220545606215143195974,dissolved,,,,,,,,,,,,
Organisation,Treccani Vocabulary,,,Treccani Vocabulary,Treccani Vocabulary.md,ChCc48vFCEJk,220545606215143195974,location,,,,,,,,,,,,
Organisation,Treccani Vocabulary,,,Treccani Vocabulary,Treccani Vocabulary.md,ChCc48vFCEJk,220545606215143195974,official_website,,,,,,,https://www.treccani.it/vocabolario/,,,,,
Organisation,Treccani Vocabulary,,,Treccani Vocabulary,Treccani Vocabulary.md,ChCc48vFCEJk,220545606215143195974,catalog_identifier,,,,,,,,,,,,
Organisation,Treccani Vocabulary,,,Treccani Vocabulary,Treccani Vocabulary.md,ChCc48vFCEJk,220545606215143195974,member,,,,,,,,,,,,
Organisation,Treccani Vocabulary,,,Treccani Vocabulary,Treccani Vocabulary.md,ChCc48vFCEJk,220545606215143195974,interested_in,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YjEbqBCorpnK,Italian language,
Organisation,Treccani Vocabulary,,,Treccani Vocabulary,Treccani Vocabulary.md,ChCc48vFCEJk,220545606215143195974,notable_work,,,,,,,,,,,,
