class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,opposite_of_value,identifier_value
Concept,['Neapolitan language'],Neapolitan,Neapolitan.md,Neapolitan,oMgmQoUY6Nmt,935740320059713855841,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jh8gsPV8qSg8,language,,,
Concept,['Neapolitan language'],Neapolitan,Neapolitan.md,Neapolitan,oMgmQoUY6Nmt,935740320059713855841,subclass_of,,,,,
Concept,['Neapolitan language'],Neapolitan,Neapolitan.md,Neapolitan,oMgmQoUY6Nmt,935740320059713855841,opposite_of,,,,,
Concept,['Neapolitan language'],Neapolitan,Neapolitan.md,Neapolitan,oMgmQoUY6Nmt,935740320059713855841,identifier,,,,,http://www.wikidata.org/entity/Q33845
