class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_external_source,contributor_role,contributor_note,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value
Book,L' inavvertito comedia di Nicolo Barbieri,,,L' inavvertito comedia di Nicolo Barbieri,L' inavvertito comedia di Nicolo Barbieri.md,XBc94rKeMXJm,601916132158572946969,identifier,http://id.sbn.it/bid/BVEE024145,,,,,,,,,,,,,,,,,,,
Book,L' inavvertito comedia di Nicolo Barbieri,,,L' inavvertito comedia di Nicolo Barbieri,L' inavvertito comedia di Nicolo Barbieri.md,XBc94rKeMXJm,601916132158572946969,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011),,,,,,,,,,,,,,,,,
Book,L' inavvertito comedia di Nicolo Barbieri,,,L' inavvertito comedia di Nicolo Barbieri,L' inavvertito comedia di Nicolo Barbieri.md,XBc94rKeMXJm,601916132158572946969,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TxUhBPCn3SQb,drama,,,,,,,,,,,,,,,
Book,L' inavvertito comedia di Nicolo Barbieri,,,L' inavvertito comedia di Nicolo Barbieri,L' inavvertito comedia di Nicolo Barbieri.md,XBc94rKeMXJm,601916132158572946969,title,,,,,,L' inauertito comedia di Nicolo Barbieri detto Beltrame comico,,,,,,,,,,,,,,
Book,L' inavvertito comedia di Nicolo Barbieri,,,L' inavvertito comedia di Nicolo Barbieri,L' inavvertito comedia di Nicolo Barbieri.md,XBc94rKeMXJm,601916132158572946969,inception,,,,,,,1629.0,,,,,,,,,,,,,
Book,L' inavvertito comedia di Nicolo Barbieri,,,L' inavvertito comedia di Nicolo Barbieri,L' inavvertito comedia di Nicolo Barbieri.md,XBc94rKeMXJm,601916132158572946969,has_version,,,,,,,,http://id.sbn.it/bid/BVEE024145,1629.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZkFJYwSwU62p', 'label': 'Torino'}]",http://www.urfm.braidense.it/rd/01896.pdf,,,,,,,,,
Book,L' inavvertito comedia di Nicolo Barbieri,,,L' inavvertito comedia di Nicolo Barbieri,L' inavvertito comedia di Nicolo Barbieri.md,XBc94rKeMXJm,601916132158572946969,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jZoTyFnAARjr', 'label': ""Don Giovanni de' Medici""}","Inspired by de' Medici troupe, according to (Ferrone 2011).",,,,,,,
Book,L' inavvertito comedia di Nicolo Barbieri,,,L' inavvertito comedia di Nicolo Barbieri,L' inavvertito comedia di Nicolo Barbieri.md,XBc94rKeMXJm,601916132158572946969,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PMuzKdL3eLhe,Niccolò Barbieri,,,,,
Book,L' inavvertito comedia di Nicolo Barbieri,,,L' inavvertito comedia di Nicolo Barbieri,L' inavvertito comedia di Nicolo Barbieri.md,XBc94rKeMXJm,601916132158572946969,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,,
Book,L' inavvertito comedia di Nicolo Barbieri,,,L' inavvertito comedia di Nicolo Barbieri,L' inavvertito comedia di Nicolo Barbieri.md,XBc94rKeMXJm,601916132158572946969,based_on,,,,,,,,,,,,,,,,,,,,
Book,L' inavvertito comedia di Nicolo Barbieri,,,L' inavvertito comedia di Nicolo Barbieri,L' inavvertito comedia di Nicolo Barbieri.md,XBc94rKeMXJm,601916132158572946969,catalog_identifier,,,,,,,,,,,,,,,,,,,,
Book,L' inavvertito comedia di Nicolo Barbieri,,,L' inavvertito comedia di Nicolo Barbieri,L' inavvertito comedia di Nicolo Barbieri.md,XBc94rKeMXJm,601916132158572946969,has_part,,,,,,,,,,,,,,,,,,,,
