class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Cesare Caporali,Cesare Caporali.md,Cesare Caporali,7Y969p9irXR5,114085420625798974881,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Cesare Caporali,Cesare Caporali.md,Cesare Caporali,7Y969p9irXR5,114085420625798974881,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Cesare Caporali,Cesare Caporali.md,Cesare Caporali,7Y969p9irXR5,114085420625798974881,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7ot3ZWvYYdmA,Perugia,,,,,,,,,
Agent,Cesare Caporali,Cesare Caporali.md,Cesare Caporali,7Y969p9irXR5,114085420625798974881,member_of,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UJz77hnWWSNh,Accademia degli Insensati di Perugia,,,,,,,
Agent,Cesare Caporali,Cesare Caporali.md,Cesare Caporali,7Y969p9irXR5,114085420625798974881,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,Cesare Caporali,Cesare Caporali.md,Cesare Caporali,7Y969p9irXR5,114085420625798974881,related_to,,,,,,,,,,,,,,,
Agent,Cesare Caporali,Cesare Caporali.md,Cesare Caporali,7Y969p9irXR5,114085420625798974881,notable_work,,,,,,,,,,,,,,,
Agent,Cesare Caporali,Cesare Caporali.md,Cesare Caporali,7Y969p9irXR5,114085420625798974881,interested_in,,,,,,,,,,,,,,,
Agent,Cesare Caporali,Cesare Caporali.md,Cesare Caporali,7Y969p9irXR5,114085420625798974881,catalog_identifier,,,,,,,,,,,,,,,
Agent,Cesare Caporali,Cesare Caporali.md,Cesare Caporali,7Y969p9irXR5,114085420625798974881,present_in_work,,,,,,,,,,,,,,,
