class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_external_source,has_version_place_of_publication,has_version_publication_date,has_version_publisher,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,"Madrigali a quattro voci, di Francesco Menta",,,"Madrigali a quattro voci, di Francesco Menta","Madrigali a quattro voci, di Francesco Menta.md",npxg2tvfUDPp,924980343540967018513,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV13480010,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Madrigali a quattro voci, di Francesco Menta",,,"Madrigali a quattro voci, di Francesco Menta","Madrigali a quattro voci, di Francesco Menta.md",npxg2tvfUDPp,924980343540967018513,identifier,https://rism.online/sources/990040951,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Madrigali a quattro voci, di Francesco Menta",,,"Madrigali a quattro voci, di Francesco Menta","Madrigali a quattro voci, di Francesco Menta.md",npxg2tvfUDPp,924980343540967018513,identifier,https://edit16.iccu.sbn.it/titolo/CNCE046916,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Madrigali a quattro voci, di Francesco Menta",,,"Madrigali a quattro voci, di Francesco Menta","Madrigali a quattro voci, di Francesco Menta.md",npxg2tvfUDPp,924980343540967018513,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,
NotatedMusic,"Madrigali a quattro voci, di Francesco Menta",,,"Madrigali a quattro voci, di Francesco Menta","Madrigali a quattro voci, di Francesco Menta.md",npxg2tvfUDPp,924980343540967018513,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,
NotatedMusic,"Madrigali a quattro voci, di Francesco Menta",,,"Madrigali a quattro voci, di Francesco Menta","Madrigali a quattro voci, di Francesco Menta.md",npxg2tvfUDPp,924980343540967018513,title,,,,,,"Madrigali a quattro voci, di Francesco Menta nuovamente da lui composti & dati in luce",,,,,,,,,,,,,,
NotatedMusic,"Madrigali a quattro voci, di Francesco Menta",,,"Madrigali a quattro voci, di Francesco Menta","Madrigali a quattro voci, di Francesco Menta.md",npxg2tvfUDPp,924980343540967018513,inception,,,,,,,1560.0,,,,,,,,,,,,,
NotatedMusic,"Madrigali a quattro voci, di Francesco Menta",,,"Madrigali a quattro voci, di Francesco Menta","Madrigali a quattro voci, di Francesco Menta.md",npxg2tvfUDPp,924980343540967018513,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE046916,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_T/T097/,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG', 'label': 'Roma'}]",1560.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WWUDgDCHvdwH', 'label': 'Antonio Barré'}",,,,,,,,
NotatedMusic,"Madrigali a quattro voci, di Francesco Menta",,,"Madrigali a quattro voci, di Francesco Menta","Madrigali a quattro voci, di Francesco Menta.md",npxg2tvfUDPp,924980343540967018513,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eirWogJRTfc7,Francesco Menta,,,,,
NotatedMusic,"Madrigali a quattro voci, di Francesco Menta",,,"Madrigali a quattro voci, di Francesco Menta","Madrigali a quattro voci, di Francesco Menta.md",npxg2tvfUDPp,924980343540967018513,subject,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Madrigali a quattro voci, di Francesco Menta",,,"Madrigali a quattro voci, di Francesco Menta","Madrigali a quattro voci, di Francesco Menta.md",npxg2tvfUDPp,924980343540967018513,has_part,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Madrigali a quattro voci, di Francesco Menta",,,"Madrigali a quattro voci, di Francesco Menta","Madrigali a quattro voci, di Francesco Menta.md",npxg2tvfUDPp,924980343540967018513,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6xVaVEAi3tdM,cantus
NotatedMusic,"Madrigali a quattro voci, di Francesco Menta",,,"Madrigali a quattro voci, di Francesco Menta","Madrigali a quattro voci, di Francesco Menta.md",npxg2tvfUDPp,924980343540967018513,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UffZZ8mohzzQ,altus
NotatedMusic,"Madrigali a quattro voci, di Francesco Menta",,,"Madrigali a quattro voci, di Francesco Menta","Madrigali a quattro voci, di Francesco Menta.md",npxg2tvfUDPp,924980343540967018513,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5uHH8y5Q43eU,tenor
NotatedMusic,"Madrigali a quattro voci, di Francesco Menta",,,"Madrigali a quattro voci, di Francesco Menta","Madrigali a quattro voci, di Francesco Menta.md",npxg2tvfUDPp,924980343540967018513,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kSRFAFQb4mfa,bassus
