class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_volume,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",AW3Ebna8H4Wv,175231887076957314781,identifier,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",AW3Ebna8H4Wv,175231887076957314781,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",AW3Ebna8H4Wv,175231887076957314781,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",AW3Ebna8H4Wv,175231887076957314781,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Su9JMubabftr,Innocenza Carrari,,,,,,,,,,,,,,,,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",AW3Ebna8H4Wv,175231887076957314781,part_of,,,,,,,,Innocenza Carrari.,60.0,2.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ENUbQJ8t6z8B,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,,,,,,,,,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",AW3Ebna8H4Wv,175231887076957314781,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",AW3Ebna8H4Wv,175231887076957314781,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",AW3Ebna8H4Wv,175231887076957314781,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hxGbZLpsZTDB,elegy,,,,,,,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",AW3Ebna8H4Wv,175231887076957314781,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",AW3Ebna8H4Wv,175231887076957314781,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",AW3Ebna8H4Wv,175231887076957314781,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable,,,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",AW3Ebna8H4Wv,175231887076957314781,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YNz7hZ7AqXJk,weeping,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",AW3Ebna8H4Wv,175231887076957314781,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7refGZLnjZsh,swan,,,
