class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,identifier_value
Agent,['Gasparo Murtola'],Gaspare Murtola,Gaspare Murtola.md,Gaspare Murtola,Ewr7pEEeBKVD,267124082947816943360,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,['Gasparo Murtola'],Gaspare Murtola,Gaspare Murtola.md,Gaspare Murtola,Ewr7pEEeBKVD,267124082947816943360,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,
Agent,['Gasparo Murtola'],Gaspare Murtola,Gaspare Murtola.md,Gaspare Murtola,Ewr7pEEeBKVD,267124082947816943360,work_location,,,,,,,,,,,,,,,,
Agent,['Gasparo Murtola'],Gaspare Murtola,Gaspare Murtola.md,Gaspare Murtola,Ewr7pEEeBKVD,267124082947816943360,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Uxki4gLFaARk,1613.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EFo7AHHEorLS', 'label': '(Terzaghi 2017)'}]",Accademia degli Ordinati di Roma,,,,,,,
Agent,['Gasparo Murtola'],Gaspare Murtola,Gaspare Murtola.md,Gaspare Murtola,Ewr7pEEeBKVD,267124082947816943360,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/htvvES2xJL7N,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6o7ptgSPFKW7', 'label': '(Moralejo Ortega 2017)'}]",Accademia degli Insensati di Perugia,,,,,,,
Agent,['Gasparo Murtola'],Gaspare Murtola,Gaspare Murtola.md,Gaspare Murtola,Ewr7pEEeBKVD,267124082947816943360,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,
Agent,['Gasparo Murtola'],Gaspare Murtola,Gaspare Murtola.md,Gaspare Murtola,Ewr7pEEeBKVD,267124082947816943360,related_to,,,,,,,,,,,,,,,,
Agent,['Gasparo Murtola'],Gaspare Murtola,Gaspare Murtola.md,Gaspare Murtola,Ewr7pEEeBKVD,267124082947816943360,notable_work,,,,,,,,,,,,,,,,
Agent,['Gasparo Murtola'],Gaspare Murtola,Gaspare Murtola.md,Gaspare Murtola,Ewr7pEEeBKVD,267124082947816943360,interested_in,,,,,,,,,,,,,,,,
Agent,['Gasparo Murtola'],Gaspare Murtola,Gaspare Murtola.md,Gaspare Murtola,Ewr7pEEeBKVD,267124082947816943360,catalog_identifier,,,,,,,,,,,,,,,,
Agent,['Gasparo Murtola'],Gaspare Murtola,Gaspare Murtola.md,Gaspare Murtola,Ewr7pEEeBKVD,267124082947816943360,identifier,,,,,,,,,,,,,,,,https://lyra.unil.ch/agents/1303
