class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,mg8U6QhVqEqK,901141976523891095384,identifier,http://www.wikidata.org/entity/Q4685603,,,,,,,,,,,,,,,,
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,mg8U6QhVqEqK,901141976523891095384,described_by_source,,,,,,,,,,,,,,,,,
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,mg8U6QhVqEqK,901141976523891095384,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,mg8U6QhVqEqK,901141976523891095384,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,mg8U6QhVqEqK,901141976523891095384,work_location,,,,,,,,,,,,,,,,,
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,mg8U6QhVqEqK,901141976523891095384,member_of,,,,,,,,,,,,,,,,,
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,mg8U6QhVqEqK,901141976523891095384,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/imEvebZ5kR6C,actor,,,,,,,
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,mg8U6QhVqEqK,901141976523891095384,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cPH3aNn2RnWp,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GWw8DELtG846', 'label': 'colleague'}",Vincenza Armani,,,,
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,mg8U6QhVqEqK,901141976523891095384,notable_work,,,,,,,,,,,,,,,,,
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,mg8U6QhVqEqK,901141976523891095384,interested_in,,,,,,,,,,,,,,,,,
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,mg8U6QhVqEqK,901141976523891095384,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,mg8U6QhVqEqK,901141976523891095384,present_in_work,,,,,,,,,,,,,,,,,
