class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Giovanni Battista Strozzi,Giovanni Battista Strozzi.md,Giovanni Battista Strozzi,AdgsHjmpg9yp,178005212084318818333,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,
Agent,Giovanni Battista Strozzi,Giovanni Battista Strozzi.md,Giovanni Battista Strozzi,AdgsHjmpg9yp,178005212084318818333,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,
Agent,Giovanni Battista Strozzi,Giovanni Battista Strozzi.md,Giovanni Battista Strozzi,AdgsHjmpg9yp,178005212084318818333,work_location,,,,,,,,,,,,,
Agent,Giovanni Battista Strozzi,Giovanni Battista Strozzi.md,Giovanni Battista Strozzi,AdgsHjmpg9yp,178005212084318818333,member_of,,,,,,,,,,,,,
Agent,Giovanni Battista Strozzi,Giovanni Battista Strozzi.md,Giovanni Battista Strozzi,AdgsHjmpg9yp,178005212084318818333,occupation,,,,,,,,,,,,,
Agent,Giovanni Battista Strozzi,Giovanni Battista Strozzi.md,Giovanni Battista Strozzi,AdgsHjmpg9yp,178005212084318818333,related_to,,,,,,,,,,,,,
Agent,Giovanni Battista Strozzi,Giovanni Battista Strozzi.md,Giovanni Battista Strozzi,AdgsHjmpg9yp,178005212084318818333,notable_work,,,,,,,,,,,,,
Agent,Giovanni Battista Strozzi,Giovanni Battista Strozzi.md,Giovanni Battista Strozzi,AdgsHjmpg9yp,178005212084318818333,interested_in,,,,,,,,,,,,,
Agent,Giovanni Battista Strozzi,Giovanni Battista Strozzi.md,Giovanni Battista Strozzi,AdgsHjmpg9yp,178005212084318818333,catalog_identifier,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",20772.0,
Agent,Giovanni Battista Strozzi,Giovanni Battista Strozzi.md,Giovanni Battista Strozzi,AdgsHjmpg9yp,178005212084318818333,present_in_work,,,,,,,,,,,,,
