class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_label,part_of_pages,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,Tu sei signora mia bella e gentile,,,Tu sei signora mia bella e gentile,Tu sei signora mia bella e gentile.md,4EAMh478rNgg,45669204925872379613,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Tu sei signora mia bella e gentile,,,Tu sei signora mia bella e gentile,Tu sei signora mia bella e gentile.md,4EAMh478rNgg,45669204925872379613,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Tu sei signora mia bella e gentile,,,Tu sei signora mia bella e gentile,Tu sei signora mia bella e gentile.md,4EAMh478rNgg,45669204925872379613,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Tu sei signora mia bella e gentile,,,Tu sei signora mia bella e gentile,Tu sei signora mia bella e gentile.md,4EAMh478rNgg,45669204925872379613,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5nowbx9kmhYW,Irene Castriota Scanderbeg,,,,,,,,,,,,,,,,,
PoeticWork,Tu sei signora mia bella e gentile,,,Tu sei signora mia bella e gentile,Tu sei signora mia bella e gentile.md,4EAMh478rNgg,45669204925872379613,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kFghMqXMQGVb,Dianora Sanseverino,,,,,,,,,,,,,,,,,
PoeticWork,Tu sei signora mia bella e gentile,,,Tu sei signora mia bella e gentile,Tu sei signora mia bella e gentile.md,4EAMh478rNgg,45669204925872379613,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WsQJYjxufGKj,Laura Terracina,,,,,,,,,,,,,,,,,
PoeticWork,Tu sei signora mia bella e gentile,,,Tu sei signora mia bella e gentile,Tu sei signora mia bella e gentile.md,4EAMh478rNgg,45669204925872379613,part_of,,,,,,,,"Laura Terracina, III",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8bcRKeoRwLYe,(van Dooren 1992),,,,,,,,,,,,,,
PoeticWork,Tu sei signora mia bella e gentile,,,Tu sei signora mia bella e gentile,Tu sei signora mia bella e gentile.md,4EAMh478rNgg,45669204925872379613,part_of,,,,,,,,"All'Ill, et Eccel. D. Herina, Principessa di Bisignano",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RKTcVMFKo3J8,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,19-20,,,,,,,,,,,,,
PoeticWork,Tu sei signora mia bella e gentile,,,Tu sei signora mia bella e gentile,Tu sei signora mia bella e gentile.md,4EAMh478rNgg,45669204925872379613,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Tu sei signora mia bella e gentile,,,Tu sei signora mia bella e gentile,Tu sei signora mia bella e gentile.md,4EAMh478rNgg,45669204925872379613,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
